fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4971952438354492,1.4971952438354492,135,24,18,,,0.6337974222280114,0.6855345911949685,0.6856600189933524,0.6962025316455697,0.6790123456790124,0.6923076923076923,0.6875,0.6855221518987342,0.7345679012345679,55,54,24,26
2,1,300,300,val_loss,1.6562505960464478,1.6562505960464478,135,24,18,,,0.6379941196498959,0.6540880503144654,0.6566951566951567,0.7241379310344828,0.5185185185185185,0.7948717948717948,0.60431654676259,0.6485269884650939,0.7336182336182338,42,62,16,39
3,1,300,300,val_loss,1.5389958620071411,1.5389958620071411,135,24,18,,,0.6343929169578184,0.6855345911949685,0.6873219373219372,0.7384615384615385,0.5925925925925926,0.782051282051282,0.6575342465753424,0.6834182860783689,0.7212725546058878,48,61,17,33
4,1,300,300,val_loss,1.4862076044082642,1.4862076044082642,135,24,18,,,0.6024621802515981,0.6729559748427673,0.6780626780626781,0.8918918918918919,0.4074074074074074,0.9487179487179487,0.559322033898305,0.6496610169491526,0.7929724596391262,33,74,4,48
5,1,300,300,val_loss,1.506157398223877,1.506157398223877,135,24,18,,,0.5861268842819011,0.710691823899371,0.7105887939221273,0.7160493827160493,0.7160493827160493,0.7051282051282052,0.7160493827160493,0.7105887939221273,0.7988287432731876,58,55,23,23
6,1,300,300,val_loss,1.5658785104751587,1.5658785104751587,135,24,18,,,0.5941914558148609,0.710691823899371,0.7127255460588794,0.7777777777777778,0.6049382716049383,0.8205128205128205,0.6805555555555556,0.7080938697318008,0.7947135169357392,49,64,14,32
7,1,300,300,val_loss,1.7373777627944946,1.7373777627944946,135,24,18,,,0.6144417164592151,0.6666666666666666,0.6621557454890789,0.6186440677966102,0.9012345679012346,0.4230769230769231,0.7336683417085427,0.6441450952240193,0.7432731877176322,73,33,45,8
8,1,300,300,val_loss,1.477277159690857,1.477277159690857,136,24,17,,,0.6219356936060955,0.71875,0.7172214408501327,0.68,0.8395061728395061,0.5949367088607594,0.7513812154696132,0.7138201041376844,0.7698077824660102,68,47,32,13
9,1,300,300,val_loss,1.6765979528427124,1.6765979528427124,136,24,17,,,0.6405425849700703,0.70625,0.7058134083450539,0.6976744186046512,0.7407407407407407,0.6708860759493671,0.718562874251497,0.7056866658839185,0.7391779965619628,60,53,26,21
10,1,300,300,val_loss,1.4855084419250488,1.4855084419250488,136,24,17,,,0.6160791014497595,0.69375,0.6942491014220973,0.7162162162162162,0.654320987654321,0.7341772151898734,0.6838709677419355,0.6934506353861192,0.775277387091733,53,58,21,28
11,2,300,300,val_loss,1.573358178138733,1.573358178138733,135,24,18,,,0.621118304852923,0.6855345911949685,0.6842355175688509,0.6703296703296703,0.7530864197530864,0.6153846153846154,0.7093023255813954,0.6834182860783689,0.776511554289332,61,48,30,20
12,2,300,300,val_loss,1.701738715171814,1.701738715171814,135,24,18,,,0.5955680631485034,0.710691823899371,0.7094017094017094,0.6923076923076923,0.7777777777777778,0.6410256410256411,0.7325581395348837,0.7087448231920994,0.769863880974992,63,50,28,18
13,2,300,300,val_loss,1.6518036127090454,1.6518036127090454,135,24,18,,,0.5921694982242107,0.6981132075471698,0.7003798670465338,0.7704918032786885,0.5802469135802469,0.8205128205128205,0.6619718309859155,0.6946222791293214,0.7828426717315606,47,64,14,34
14,2,300,300,val_loss,1.5420717000961304,1.5420717000961304,135,24,18,,,0.6408893383771358,0.6792452830188679,0.6818613485280152,0.7586206896551724,0.5432098765432098,0.8205128205128205,0.6330935251798561,0.6740886620312688,0.7450142450142451,44,64,14,37
15,2,300,300,val_loss,1.462468147277832,1.462468147277832,135,24,18,,,0.6046966203684327,0.7044025157232704,0.7048907882241215,0.7236842105263158,0.6790123456790124,0.7307692307692307,0.7006369426751592,0.704355738418325,0.7839506172839505,55,57,21,26
16,2,300,300,val_loss,1.683951497077942,1.683951497077942,135,24,18,,,0.6312422749883446,0.6415094339622641,0.6374643874643875,0.6052631578947368,0.8518518518518519,0.4230769230769231,0.7076923076923077,0.6221388367729832,0.7200063311174422,69,33,45,12
17,2,300,300,val_loss,1.6292424201965332,1.6292424201965332,135,24,18,,,0.6234205097957228,0.6918238993710691,0.6911206077872745,0.686046511627907,0.7283950617283951,0.6538461538461539,0.7065868263473054,0.6910417575445136,0.7415321304210193,59,51,27,22
18,2,300,300,val_loss,1.406511664390564,1.406511664390564,136,24,17,,,0.6518940286127213,0.69375,0.694405375839975,0.7222222222222222,0.6419753086419753,0.7468354430379747,0.6797385620915033,0.6931626942194044,0.7383966244725738,52,59,20,29
19,2,300,300,val_loss,1.5008851289749146,1.5008851289749146,136,24,17,,,0.6379212220532873,0.6375,0.6357243319268636,0.6116504854368932,0.7777777777777778,0.4936708860759494,0.6847826086956522,0.629156010230179,0.7223003594311611,63,39,40,18
20,2,300,300,val_loss,1.335974097251892,1.335974097251892,136,24,17,,,0.6349243571112905,0.65,0.6494764807001094,0.6436781609195402,0.691358024691358,0.6075949367088608,0.6666666666666666,0.6491228070175439,0.7305829035786842,56,48,31,25
21,3,300,300,val_loss,1.625394344329834,1.625394344329834,135,24,18,,,0.6301034981889507,0.6918238993710691,0.691358024691358,0.6904761904761905,0.7160493827160493,0.6666666666666666,0.703030303030303,0.6913844325609031,0.7157328268439379,58,52,26,23
22,3,300,300,val_loss,1.4038686752319336,1.4038686752319336,135,24,18,,,0.6431167357666533,0.7295597484276729,0.7295821462488129,0.7375,0.7283950617283951,0.7307692307692307,0.7329192546583851,0.7295169521699569,0.7529281418170307,59,57,21,22
23,3,300,300,val_loss,1.6967636346817017,1.6967636346817017,135,24,18,,,0.5997167255423717,0.7169811320754716,0.7165242165242165,0.7142857142857143,0.7407407407407407,0.6923076923076923,0.7272727272727273,0.7165775401069518,0.7766698322253878,60,54,24,21
24,3,300,300,val_loss,1.659324288368225,1.659324288368225,135,24,18,,,0.5836310708018042,0.710691823899371,0.7070275403608737,0.6576576576576577,0.9012345679012346,0.5128205128205128,0.7604166666666666,0.6976686507936507,0.8118075340297563,73,40,38,8
25,3,300,300,val_loss,1.5728241205215454,1.5728241205215454,135,24,18,,,0.6187146264941259,0.6918238993710691,0.6920702754036088,0.7051282051282052,0.6790123456790124,0.7051282051282052,0.6918238993710691,0.6918238993710691,0.7524533080088636,55,55,23,26
26,3,300,300,val_loss,1.2723169326782227,1.2723169326782227,135,24,18,,,0.6439950093569724,0.6981132075471698,0.7015669515669516,0.8235294117647058,0.5185185185185185,0.8846153846153846,0.6363636363636364,0.6891495601173021,0.8124406457739791,42,69,9,39
27,3,300,300,val_loss,1.676508903503418,1.676508903503418,135,24,18,,,0.6047903417721788,0.7358490566037735,0.7378917378917379,0.8095238095238095,0.6296296296296297,0.8461538461538461,0.7083333333333334,0.7334770114942528,0.775403608736942,51,66,12,30
28,3,300,300,val_loss,1.6778078079223633,1.6778078079223633,136,24,17,,,0.640409857350083,0.65625,0.6570557899671823,0.6857142857142857,0.5925925925925926,0.7215189873417721,0.6357615894039735,0.6551589012108625,0.7182372245663385,48,57,22,33
29,3,300,300,val_loss,1.5883421897888184,1.5883421897888184,136,24,17,,,0.6081288773515652,0.68125,0.6817471479918737,0.7027027027027027,0.6419753086419753,0.7215189873417721,0.6709677419354839,0.6809384164222874,0.7759024847632442,52,57,22,29
30,3,300,300,val_loss,1.464318871498108,1.464318871498108,136,24,17,,,0.6237423501605145,0.7125,0.7124550711048601,0.7160493827160493,0.7160493827160493,0.7088607594936709,0.7160493827160493,0.7124550711048601,0.7909048288795124,58,56,23,23
31,4,300,300,val_loss,1.5083686113357544,1.5083686113357544,135,24,18,,,0.5864680642437832,0.7169811320754716,0.716286799620133,0.7093023255813954,0.7530864197530864,0.6794871794871795,0.7305389221556886,0.716262838561288,0.8059512503956948,61,53,25,20
32,4,300,300,val_loss,1.5549278259277344,1.5549278259277344,135,24,18,,,0.624428058994773,0.6792452830188679,0.6801994301994302,0.7083333333333334,0.6296296296296297,0.7307692307692307,0.6666666666666666,0.6787878787878787,0.745014245014245,51,57,21,30
33,4,300,300,val_loss,1.5201908349990845,1.5201908349990845,135,24,18,,,0.6286196059054229,0.7232704402515723,0.7226970560303894,0.7176470588235294,0.7530864197530864,0.6923076923076923,0.7349397590361446,0.7227330374128091,0.7640075973409306,61,54,24,20
34,4,300,300,val_loss,1.478690505027771,1.478690505027771,135,24,18,,,0.6366474659581504,0.6289308176100629,0.6329534662867996,0.7391304347826086,0.41975308641975306,0.8461538461538461,0.5354330708661418,0.6132662736529662,0.7646407090851535,34,66,12,47
35,4,300,300,val_loss,1.6355525255203247,1.6355525255203247,135,24,18,,,0.608579551091243,0.6729559748427673,0.6711775878442545,0.6526315789473685,0.7654320987654321,0.5769230769230769,0.7045454545454546,0.6691741357234315,0.7655903767014878,62,45,33,19
