fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.9554885625839233,1.9554885625839233,29,6,4,,,0.5702214023372538,0.8571428571428571,0.8486842105263157,0.9230769230769231,0.75,0.9473684210526315,0.8275862068965517,0.8528174936921783,0.944078947368421,12,18,1,4
2,1,300,300,val_loss,2.0263893604278564,2.0263893604278564,29,6,4,,,0.5672647428920436,0.7428571428571429,0.71875,1.0,0.4375,1.0,0.6086956521739131,0.7086031452358927,0.875,7,19,0,9
3,1,300,293,val_loss,2.0226728916168213,2.0226728916168213,29,6,4,,,0.6152564842932474,0.7142857142857143,0.7250000000000001,0.631578947368421,0.8,0.65,0.7058823529411765,0.7140522875816994,0.8099999999999999,12,13,7,3
4,1,300,300,val_loss,1.8370332717895508,1.8370332717895508,29,6,4,,,0.5413494696307284,0.8285714285714286,0.8,1.0,0.6,1.0,0.75,0.8097826086956521,0.9233333333333333,9,20,0,6
5,1,300,300,val_loss,1.8074880838394165,1.8074880838394165,29,6,4,,,0.4988338906314021,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.96,13,19,1,2
6,1,300,300,val_loss,2.035615921020508,2.035615921020508,29,6,4,,,0.6199559980108507,0.7428571428571429,0.7416666666666667,0.6875,0.7333333333333333,0.75,0.7096774193548387,0.7394540942928041,0.8166666666666668,11,15,5,4
7,1,300,300,val_loss,2.0434000492095947,2.0434000492095947,29,6,4,,,0.55001497269513,0.8571428571428571,0.8666666666666667,0.7777777777777778,0.9333333333333333,0.8,0.8484848484848485,0.8566748566748568,0.9366666666666668,14,16,4,1
8,1,300,300,val_loss,1.9879951477050781,1.9879951477050781,29,6,4,,,0.568732569029842,0.7714285714285715,0.7333333333333334,1.0,0.4666666666666667,1.0,0.6363636363636364,0.7348484848484849,0.9100000000000001,7,20,0,8
9,1,300,300,val_loss,1.9826911687850952,1.9826911687850952,29,6,4,,,0.5756797525529814,0.7428571428571429,0.725,0.75,0.6,0.85,0.6666666666666666,0.7286821705426356,0.9266666666666667,9,17,3,6
10,1,300,300,val_loss,1.9620928764343262,1.9620928764343262,30,6,3,,,0.6072575511163731,0.7777777777777778,0.78125,0.7222222222222222,0.8125,0.75,0.7647058823529411,0.7770897832817337,0.90625,13,15,5,3
11,2,300,300,val_loss,1.9282946586608887,1.9282946586608887,29,6,4,,,0.5199469720586527,0.9142857142857143,0.90625,1.0,0.8125,1.0,0.896551724137931,0.911690496215307,0.9539473684210525,13,19,0,3
12,2,300,300,val_loss,1.9188014268875122,1.9188014268875122,29,6,4,,,0.5402125245233522,0.8571428571428571,0.8634868421052632,0.7894736842105263,0.9375,0.7894736842105263,0.8571428571428571,0.8571428571428571,0.950657894736842,15,15,4,1
13,2,300,300,val_loss,1.8950456380844116,1.8950456380844116,29,6,4,,,0.553676444322805,0.8,0.7666666666666666,1.0,0.5333333333333333,1.0,0.6956521739130435,0.7733580018501387,0.9166666666666666,8,20,0,7
14,2,300,300,val_loss,1.9724370241165161,1.9724370241165161,29,6,4,,,0.6016246193658208,0.8857142857142857,0.8916666666666666,0.8235294117647058,0.9333333333333333,0.85,0.875,0.8848684210526316,0.93,14,17,3,1
15,2,300,300,val_loss,1.9309154748916626,1.9309154748916626,29,6,4,,,0.5848409472574778,0.8285714285714286,0.825,0.8,0.8,0.85,0.8,0.825,0.9066666666666667,12,17,3,3
