fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.6557722091674805,1.6557722091674805,50,9,7,,,0.6439284759960122,0.7288135593220338,0.7170588235294117,0.6956521739130435,0.64,0.7941176470588235,0.6666666666666666,0.719047619047619,0.7647058823529411,16,27,7,9
2,1,300,300,val_loss,1.6893430948257446,1.6893430948257446,50,9,7,,,0.6251114169229621,0.6610169491525424,0.6105882352941177,0.7777777777777778,0.28,0.9411764705882353,0.4117647058823529,0.5868347338935573,0.7470588235294118,7,32,2,18
3,1,300,300,val_loss,1.7048195600509644,1.7048195600509644,50,9,7,,,0.6630783040017075,0.6101694915254238,0.6035294117647059,0.5384615384615384,0.56,0.6470588235294118,0.5490196078431373,0.6028680128767925,0.6870588235294117,14,22,12,11
4,1,300,300,val_loss,1.7032445669174194,1.7032445669174194,50,9,7,,,0.6628315665153645,0.6271186440677966,0.5970588235294118,0.5882352941176471,0.4,0.7941176470588235,0.47619047619047616,0.5933583959899749,0.6552941176470588,10,27,7,15
5,1,300,300,val_loss,1.651868462562561,1.651868462562561,50,9,7,,,0.6153692202618292,0.711864406779661,0.723529411764706,0.625,0.8,0.6470588235294118,0.7017543859649122,0.7115329306873741,0.7741176470588236,20,22,12,5
6,1,300,300,val_loss,1.8479317426681519,1.8479317426681519,50,9,7,,,0.6520443002455478,0.6949152542372882,0.6823529411764706,0.6521739130434783,0.6,0.7647058823529411,0.625,0.6839285714285714,0.7,15,26,8,10
7,1,300,300,val_loss,1.7347731590270996,1.7347731590270996,51,9,6,,,0.635209935599045,0.65,0.6485714285714286,0.5714285714285714,0.64,0.6571428571428571,0.6037735849056604,0.6451703745423825,0.7074285714285715,16,23,12,9
8,1,300,300,val_loss,1.6814568042755127,1.6814568042755127,51,9,6,,,0.6217199832063467,0.7,0.6742857142857144,0.6842105263157895,0.52,0.8285714285714286,0.5909090909090909,0.6770334928229665,0.7782857142857142,13,29,6,12
9,1,300,300,val_loss,1.748808741569519,1.748808741569519,51,9,6,,,0.6468162167961637,0.65,0.6368778280542986,0.6086956521739131,0.5384615384615384,0.7352941176470589,0.5714285714285714,0.6378269617706237,0.7364253393665159,14,25,9,12
10,1,134,109,val_loss,1.912972331047058,1.912972331047058,51,9,6,,,0.6834872298014627,0.5833333333333334,0.6006787330316742,0.5135135135135135,0.7307692307692307,0.47058823529411764,0.6031746031746031,0.5822890559732665,0.6278280542986426,19,16,18,7
