fold,repeat,subject,subject_id,split
1,1,134,Peking-3993793,fit
1,1,67,Peking-1689948,fit
1,1,73,Peking-1139030,fit
1,1,79,Peking-3004580,fit
1,1,137,Peking-1341865,fit
1,1,1,Peking-3587000,fit
1,1,40,Peking-2833684,fit
1,1,77,Peking-2123983,fit
1,1,91,Peking-4136226,fit
1,1,106,Peking-5669389,fit
1,1,71,Peking-3233028,fit
1,1,164,Peking-2559537,fit
1,1,174,Peking-2601519,fit
1,1,42,Peking-3554582,fit
1,1,131,Peking-1875013,fit
1,1,98,Peking-1356553,fit
1,1,152,Peking-2296326,fit
1,1,30,Peking-6187322,fit
1,1,64,Peking-1302449,fit
1,1,51,Peking-4256491,fit
1,1,23,Peking-3809753,fit
1,1,141,Peking-2919220,fit
1,1,145,Peking-3446674,fit
1,1,111,Peking-2268253,fit
1,1,154,Peking-1860323,fit
1,1,80,Peking-2208591,fit
1,1,32,Peking-3707771,fit
1,1,18,Peking-2408774,fit
1,1,157,Peking-1643780,fit
1,1,182,Peking-4265987,fit
1,1,15,Peking-2697768,fit
1,1,180,Peking-3205761,fit
1,1,97,Peking-6383713,fit
1,1,70,Peking-2714224,fit
1,1,143,Peking-2033178,fit
1,1,104,Peking-1843546,fit
1,1,38,Peking-9783279,fit
1,1,150,Peking-4225073,fit
1,1,66,Peking-3262042,fit
1,1,11,Peking-3983607,fit
1,1,148,Peking-3856956,fit
1,1,9,Peking-1686092,fit
1,1,13,Peking-1056121,fit
1,1,175,Peking-9002207,fit
1,1,172,Peking-1177160,fit
1,1,109,Peking-1794770,fit
1,1,59,Peking-1258069,fit
1,1,27,Peking-1561488,fit
1,1,62,Peking-3732101,fit
1,1,100,Peking-4006710,fit
1,1,7,Peking-1133221,fit
1,1,20,Peking-1469171,fit
1,1,93,Peking-2780647,fit
1,1,113,Peking-3624598,fit
1,1,45,Peking-1879542,fit
1,1,54,Peking-2240562,fit
1,1,84,Peking-2276801,fit
1,1,103,Peking-1662160,fit
1,1,83,Peking-2940712,fit
1,1,107,Peking-2493190,fit
1,1,74,Peking-3593327,fit
1,1,169,Peking-2140063,fit
1,1,53,Peking-7135128,fit
1,1,102,Peking-1771270,fit
1,1,68,Peking-5600820,fit
1,1,72,Peking-3739175,fit
1,1,115,Peking-3473830,fit
1,1,5,Peking-1186237,fit
1,1,126,Peking-4055710,fit
1,1,6,Peking-3269608,fit
1,1,50,Peking-8838009,fit
1,1,46,Peking-9093997,fit
1,1,177,Peking-3610134,fit
1,1,61,Peking-3976121,fit
1,1,55,Peking-4921428,fit
1,1,35,Peking-3967265,fit
1,1,166,Peking-3561920,fit
1,1,142,Peking-5993008,fit
1,1,127,Peking-1494102,fit
1,1,96,Peking-1132854,fit
1,1,2,Peking-1113498,fit
1,1,52,Peking-5193577,fit
1,1,159,Peking-4073815,fit
1,1,156,Peking-3910672,fit
1,1,58,Peking-3672854,fit
1,1,151,Peking-6500128,fit
1,1,168,Peking-2498847,fit
1,1,99,Peking-4048810,fit
1,1,158,Peking-1809715,fit
1,1,14,Peking-4053836,fit
1,1,90,Peking-3672300,fit
1,1,122,Peking-7253183,fit
1,1,31,Peking-2910270,fit
1,1,57,Peking-1408093,fit
1,1,12,Peking-3212536,fit
1,1,86,Peking-1399863,fit
1,1,60,Peking-7093319,fit
1,1,28,Peking-3889095,fit
1,1,123,Peking-3157406,fit
1,1,140,Peking-2141250,fit
1,1,56,Peking-4475709,fit
1,1,94,Peking-3712305,fit
1,1,29,Peking-2249443,fit
1,1,81,Peking-3870624,fit
1,1,63,Peking-3390312,fit
1,1,47,Peking-1912810,fit
1,1,155,Peking-1093743,fit
1,1,101,Peking-1411536,fit
1,1,26,Peking-2535087,fit
1,1,39,Peking-1947991,fit
1,1,43,Peking-5150328,fit
1,1,4,Peking-3239413,fit
1,1,37,Peking-1282248,fit
1,1,110,Peking-3385520,fit
1,1,129,Peking-1094669,fit
1,1,17,Peking-4383707,fit
1,1,136,Peking-2207418,fit
1,1,87,Peking-3224401,fit
1,1,130,Peking-1117299,fit
1,1,69,Peking-2897046,fit
1,1,176,Peking-9578631,fit
1,1,82,Peking-2524687,fit
1,1,181,Peking-3994098,fit
1,1,173,Peking-1159908,fit
1,1,89,Peking-2228148,fit
1,1,78,Peking-1391181,fit
1,1,16,Peking-2106109,fit
1,1,135,Peking-3691107,fit
1,1,124,Peking-4221029,fit
1,1,21,Peking-9210521,fit
1,1,178,Peking-2529026,fit
1,1,85,Peking-6477085,fit
1,1,105,Peking-1404738,fit
1,1,153,Peking-1628610,fit
1,1,44,Peking-1875711,fit
1,1,108,Peking-3803759,fit
1,1,22,Peking-7390867,fit
1,1,139,Peking-2310449,fit
1,1,120,Peking-4241194,fit
1,1,19,Peking-1240299,inner_val
1,1,116,Peking-2907951,inner_val
1,1,34,Peking-9890726,inner_val
1,1,24,Peking-2427408,inner_val
1,1,163,Peking-3308331,inner_val
1,1,25,Peking-4091983,inner_val
1,1,128,Peking-2950754,inner_val
1,1,33,Peking-2266806,inner_val
1,1,160,Peking-2884672,inner_val
1,1,167,Peking-2377207,inner_val
1,1,133,Peking-4075719,inner_val
1,1,95,Peking-3930512,inner_val
1,1,112,Peking-1050345,inner_val
1,1,75,Peking-8328877,inner_val
1,1,165,Peking-7689953,inner_val
1,1,3,Peking-2081754,inner_val
1,1,117,Peking-3277313,inner_val
1,1,162,Peking-1050975,inner_val
1,1,132,Peking-4053388,inner_val
1,1,170,Peking-2659769,inner_val
1,1,179,Peking-3827352,inner_val
1,1,121,Peking-2737106,inner_val
1,1,76,Peking-9221927,inner_val
1,1,36,Peking-2538839,inner_val
1,1,147,Peking-7407032,inner_val
1,1,0,Peking-2196753,outer_val
1,1,8,Peking-4028266,outer_val
1,1,10,Peking-3086074,outer_val
1,1,41,Peking-4095748,outer_val
1,1,48,Peking-3306863,outer_val
1,1,49,Peking-9887336,outer_val
1,1,65,Peking-2703336,outer_val
1,1,88,Peking-3291029,outer_val
1,1,92,Peking-5575344,outer_val
1,1,114,Peking-8191384,outer_val
1,1,118,Peking-7994085,outer_val
1,1,119,Peking-2984158,outer_val
1,1,125,Peking-8278680,outer_val
1,1,138,Peking-3494778,outer_val
1,1,144,Peking-1562298,outer_val
1,1,146,Peking-3248920,outer_val
1,1,149,Peking-3562883,outer_val
1,1,161,Peking-3194757,outer_val
1,1,171,Peking-2031422,outer_val
2,1,176,Peking-9578631,fit
2,1,45,Peking-1879542,fit
2,1,104,Peking-1843546,fit
2,1,182,Peking-4265987,fit
2,1,31,Peking-2910270,fit
2,1,113,Peking-3624598,fit
2,1,103,Peking-1662160,fit
2,1,41,Peking-4095748,fit
2,1,156,Peking-3910672,fit
2,1,121,Peking-2737106,fit
2,1,128,Peking-2950754,fit
2,1,27,Peking-1561488,fit
2,1,96,Peking-1132854,fit
2,1,158,Peking-1809715,fit
2,1,46,Peking-9093997,fit
2,1,110,Peking-3385520,fit
2,1,74,Peking-3593327,fit
2,1,29,Peking-2249443,fit
2,1,172,Peking-1177160,fit
2,1,8,Peking-4028266,fit
2,1,143,Peking-2033178,fit
2,1,70,Peking-2714224,fit
2,1,56,Peking-4475709,fit
2,1,30,Peking-6187322,fit
2,1,72,Peking-3739175,fit
2,1,87,Peking-3224401,fit
2,1,44,Peking-1875711,fit
2,1,55,Peking-4921428,fit
2,1,39,Peking-1947991,fit
2,1,20,Peking-1469171,fit
2,1,83,Peking-2940712,fit
2,1,146,Peking-3248920,fit
2,1,52,Peking-5193577,fit
2,1,130,Peking-1117299,fit
2,1,35,Peking-3967265,fit
2,1,120,Peking-4241194,fit
2,1,171,Peking-2031422,fit
2,1,157,Peking-1643780,fit
2,1,153,Peking-1628610,fit
2,1,91,Peking-4136226,fit
2,1,21,Peking-9210521,fit
2,1,144,Peking-1562298,fit
2,1,164,Peking-2559537,fit
2,1,92,Peking-5575344,fit
2,1,23,Peking-3809753,fit
2,1,166,Peking-3561920,fit
2,1,25,Peking-4091983,fit
2,1,86,Peking-1399863,fit
2,1,17,Peking-4383707,fit
2,1,28,Peking-3889095,fit
2,1,177,Peking-3610134,fit
2,1,64,Peking-1302449,fit
2,1,152,Peking-2296326,fit
2,1,58,Peking-3672854,fit
2,1,169,Peking-2140063,fit
2,1,3,Peking-2081754,fit
2,1,134,Peking-3993793,fit
2,1,132,Peking-4053388,fit
2,1,65,Peking-2703336,fit
2,1,10,Peking-3086074,fit
2,1,49,Peking-9887336,fit
2,1,154,Peking-1860323,fit
2,1,32,Peking-3707771,fit
2,1,117,Peking-3277313,fit
2,1,62,Peking-3732101,fit
2,1,165,Peking-7689953,fit
2,1,7,Peking-1133221,fit
2,1,6,Peking-3269608,fit
2,1,60,Peking-7093319,fit
2,1,148,Peking-3856956,fit
2,1,155,Peking-1093743,fit
2,1,159,Peking-4073815,fit
2,1,69,Peking-2897046,fit
2,1,24,Peking-2427408,fit
2,1,81,Peking-3870624,fit
2,1,26,Peking-2535087,fit
2,1,38,Peking-9783279,fit
2,1,53,Peking-7135128,fit
2,1,2,Peking-1113498,fit
2,1,145,Peking-3446674,fit
2,1,136,Peking-2207418,fit
2,1,173,Peking-1159908,fit
2,1,48,Peking-3306863,fit
2,1,43,Peking-5150328,fit
2,1,105,Peking-1404738,fit
2,1,116,Peking-2907951,fit
2,1,73,Peking-1139030,fit
2,1,47,Peking-1912810,fit
2,1,4,Peking-3239413,fit
2,1,167,Peking-2377207,fit
2,1,162,Peking-1050975,fit
2,1,118,Peking-7994085,fit
2,1,0,Peking-2196753,fit
2,1,142,Peking-5993008,fit
2,1,75,Peking-8328877,fit
2,1,15,Peking-2697768,fit
2,1,161,Peking-3194757,fit
2,1,137,Peking-1341865,fit
2,1,175,Peking-9002207,fit
2,1,84,Peking-2276801,fit
2,1,138,Peking-3494778,fit
2,1,5,Peking-1186237,fit
2,1,11,Peking-3983607,fit
2,1,85,Peking-6477085,fit
2,1,123,Peking-3157406,fit
2,1,127,Peking-1494102,fit
2,1,139,Peking-2310449,fit
2,1,50,Peking-8838009,fit
2,1,16,Peking-2106109,fit
2,1,133,Peking-4075719,fit
2,1,151,Peking-6500128,fit
2,1,67,Peking-1689948,fit
2,1,13,Peking-1056121,fit
2,1,66,Peking-3262042,fit
2,1,95,Peking-3930512,fit
2,1,100,Peking-4006710,fit
2,1,174,Peking-2601519,fit
2,1,57,Peking-1408093,fit
2,1,61,Peking-3976121,fit
2,1,140,Peking-2141250,fit
2,1,107,Peking-2493190,fit
2,1,106,Peking-5669389,fit
2,1,170,Peking-2659769,fit
2,1,168,Peking-2498847,fit
2,1,36,Peking-2538839,fit
2,1,63,Peking-3390312,fit
2,1,149,Peking-3562883,fit
2,1,147,Peking-7407032,fit
2,1,180,Peking-3205761,fit
2,1,141,Peking-2919220,fit
2,1,119,Peking-2984158,fit
2,1,102,Peking-1771270,fit
2,1,68,Peking-5600820,fit
2,1,160,Peking-2884672,fit
2,1,125,Peking-8278680,fit
2,1,94,Peking-3712305,fit
2,1,76,Peking-9221927,fit
2,1,126,Peking-4055710,fit
2,1,115,Peking-3473830,fit
2,1,40,Peking-2833684,inner_val
2,1,181,Peking-3994098,inner_val
2,1,59,Peking-1258069,inner_val
2,1,93,Peking-2780647,inner_val
2,1,78,Peking-1391181,inner_val
2,1,112,Peking-1050345,inner_val
2,1,77,Peking-2123983,inner_val
2,1,101,Peking-1411536,inner_val
2,1,178,Peking-2529026,inner_val
2,1,131,Peking-1875013,inner_val
2,1,97,Peking-6383713,inner_val
2,1,129,Peking-1094669,inner_val
2,1,114,Peking-8191384,inner_val
2,1,82,Peking-2524687,inner_val
2,1,90,Peking-3672300,inner_val
2,1,89,Peking-2228148,inner_val
2,1,88,Peking-3291029,inner_val
2,1,109,Peking-1794770,inner_val
2,1,98,Peking-1356553,inner_val
2,1,124,Peking-4221029,inner_val
2,1,34,Peking-9890726,inner_val
2,1,33,Peking-2266806,inner_val
2,1,54,Peking-2240562,inner_val
2,1,80,Peking-2208591,inner_val
2,1,99,Peking-4048810,inner_val
2,1,1,Peking-3587000,outer_val
2,1,9,Peking-1686092,outer_val
2,1,12,Peking-3212536,outer_val
2,1,14,Peking-4053836,outer_val
2,1,18,Peking-2408774,outer_val
2,1,19,Peking-1240299,outer_val
2,1,22,Peking-7390867,outer_val
2,1,37,Peking-1282248,outer_val
2,1,42,Peking-3554582,outer_val
2,1,51,Peking-4256491,outer_val
2,1,71,Peking-3233028,outer_val
2,1,79,Peking-3004580,outer_val
2,1,108,Peking-3803759,outer_val
2,1,111,Peking-2268253,outer_val
2,1,122,Peking-7253183,outer_val
2,1,135,Peking-3691107,outer_val
2,1,150,Peking-4225073,outer_val
2,1,163,Peking-3308331,outer_val
2,1,179,Peking-3827352,outer_val
