fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.52692449092865,1.52692449092865,139,25,19,0.8373493975903614,1.2410714285714286,0.6157550582609459,0.725609756097561,0.7481447124304268,0.6129032258064516,0.8636363636363636,0.6326530612244898,0.7169811320754716,0.7253544713631797,0.8362708719851578,57,62,36,9
2,1,300,295,val_loss,1.7049813270568848,1.7049813270568848,139,25,19,0.8373493975903614,1.2410714285714286,0.48859703729470727,0.8109756097560976,0.7898886827458256,0.8181818181818182,0.6818181818181818,0.8979591836734694,0.743801652892562,0.7970215993931409,0.8650278293135436,45,88,10,21
3,1,300,300,val_loss,1.5358985662460327,1.5358985662460327,139,25,19,0.8373493975903614,1.2410714285714286,0.5732799452962952,0.8048780487804879,0.7922077922077921,0.7741935483870968,0.7272727272727273,0.8571428571428571,0.75,0.7949999999999999,0.83147804576376,48,84,14,18
4,1,300,300,val_loss,1.460331678390503,1.460331678390503,140,25,18,0.8333333333333334,1.25,0.5554379587451292,0.7696969696969697,0.7222222222222222,0.8888888888888888,0.48484848484848486,0.9595959595959596,0.6274509803921569,0.7303921568627452,0.8471074380165289,32,95,4,34
5,1,300,300,val_loss,1.4696377515792847,1.4696377515792847,140,25,18,0.8433734939759037,1.2280701754385965,0.5607028789843193,0.7515151515151515,0.7530459945172099,0.6710526315789473,0.7611940298507462,0.7448979591836735,0.7132867132867133,0.7470176881941588,0.8245507158087115,51,73,25,16
6,1,300,300,val_loss,1.5529115200042725,1.5529115200042725,140,25,18,0.8433734939759037,1.2280701754385965,0.5133749870778747,0.7878787878787878,0.7647730734084679,0.7962962962962963,0.6417910447761194,0.8877551020408163,0.7107438016528925,0.7716398434101783,0.874352726165093,43,87,11,24
7,1,300,300,val_loss,1.770103096961975,1.770103096961975,140,25,18,0.8433734939759037,1.2280701754385965,0.5587942319434325,0.7151515151515152,0.7318763326226013,0.6111111111111112,0.8208955223880597,0.6428571428571429,0.7006369426751592,0.7144803210485622,0.8151081328053609,55,63,35,12
8,1,300,300,val_loss,1.5330305099487305,1.5330305099487305,140,25,18,0.8433734939759037,1.2280701754385965,0.593780923749937,0.7696969696969697,0.7589095339628389,0.7230769230769231,0.7014925373134329,0.8163265306122449,0.7121212121212122,0.7601010101010102,0.8268352116966189,47,80,18,20
9,1,300,300,val_loss,1.574711561203003,1.574711561203003,140,25,18,0.8433734939759037,1.2280701754385965,0.5426068479197236,0.7818181818181819,0.7785561985988425,0.7183098591549296,0.7611940298507462,0.7959183673469388,0.7391304347826086,0.7758152173913043,0.8516600670118795,51,78,20,16
10,1,300,300,val_loss,1.534989356994629,1.534989356994629,140,25,18,0.8433734939759037,1.2280701754385965,0.5731020752913965,0.793939393939394,0.8076454462381968,0.6941176470588235,0.8805970149253731,0.7346938775510204,0.7763157894736842,0.792652276759314,0.8542491623515077,59,72,26,8
11,2,300,300,val_loss,1.5821304321289062,1.5821304321289062,139,25,19,0.8373493975903614,1.2410714285714286,0.5453602939103454,0.7439024390243902,0.7337662337662337,0.6818181818181818,0.6818181818181818,0.7857142857142857,0.6818181818181818,0.7337662337662337,0.820191713048856,45,77,21,21
12,2,300,300,val_loss,1.6341040134429932,1.6341040134429932,139,25,19,0.8373493975903614,1.2410714285714286,0.5839059379145334,0.7682926829268293,0.7813852813852814,0.6666666666666666,0.8484848484848485,0.7142857142857143,0.7466666666666667,0.7665917602996255,0.8438466295609153,56,70,28,10
13,2,300,300,val_loss,1.5478793382644653,1.5478793382644653,139,25,19,0.8373493975903614,1.2410714285714286,0.4783327346588128,0.8170731707317073,0.8024118738404453,0.8,0.7272727272727273,0.8775510204081632,0.7619047619047619,0.8066949552098066,0.8846629560915275,48,86,12,18
14,2,300,300,val_loss,1.4209189414978027,1.4209189414978027,140,25,18,0.8333333333333334,1.25,0.5421228507929154,0.7454545454545455,0.7121212121212122,0.75,0.5454545454545454,0.8787878787878788,0.631578947368421,0.7185672514619883,0.8080808080808081,36,87,12,30
15,2,300,300,val_loss,1.4723681211471558,1.4723681211471558,140,25,18,0.8433734939759037,1.2280701754385965,0.5825240563683018,0.7575757575757576,0.7605086810843741,0.6753246753246753,0.7761194029850746,0.7448979591836735,0.7222222222222222,0.7535842293906809,0.8358208955223879,52,73,25,15
16,2,300,299,val_loss,1.6932429075241089,1.6932429075241089,140,25,18,0.8433734939759037,1.2280701754385965,0.5920651983593215,0.7212121212121212,0.7416996649406031,0.6129032258064516,0.8507462686567164,0.6326530612244898,0.7125,0.7209558823529412,0.8158696314346634,57,62,36,10
17,2,300,300,val_loss,1.604285478591919,1.604285478591919,140,25,18,0.8433734939759037,1.2280701754385965,0.5314988591026524,0.7696969696969697,0.751827596710326,0.7457627118644068,0.6567164179104478,0.8469387755102041,0.6984126984126984,0.7560690943043884,0.8446542796222967,44,83,15,23
18,2,300,300,val_loss,1.3821110725402832,1.3821110725402832,140,25,18,0.8433734939759037,1.2280701754385965,0.6101253864563423,0.7575757575757576,0.7487054523301858,0.7014925373134329,0.7014925373134329,0.7959183673469388,0.7014925373134329,0.7487054523301858,0.8091684434968017,47,78,20,20
19,2,300,300,val_loss,1.5711870193481445,1.5711870193481445,140,25,18,0.8433734939759037,1.2280701754385965,0.546775509208513,0.7696969696969697,0.7895979287237282,0.6593406593406593,0.8955223880597015,0.6836734693877551,0.759493670886076,0.7692817191639683,0.8644532439841608,60,67,31,7
20,2,300,300,val_loss,1.3200443983078003,1.3200443983078003,140,25,18,0.8433734939759037,1.2280701754385965,0.5852565627208103,0.7696969696969697,0.784876637222053,0.6666666666666666,0.8656716417910447,0.7040816326530612,0.7532467532467533,0.7686688311688312,0.8909533962838867,58,69,29,9
21,3,300,298,val_loss,1.6734116077423096,1.6734116077423096,139,25,19,0.8373493975903614,1.2410714285714286,0.5611786987981403,0.7621951219512195,0.7391774891774892,0.7454545454545455,0.6212121212121212,0.8571428571428571,0.6776859504132231,0.7446400766558869,0.8243661100803957,41,84,14,25
22,3,300,300,val_loss,1.310123085975647,1.310123085975647,139,25,19,0.8373493975903614,1.2410714285714286,0.6208613305404536,0.676829268292683,0.7098021026592456,0.5631067961165048,0.8787878787878788,0.5408163265306123,0.6863905325443787,0.6765285996055226,0.8341063698206556,58,53,45,8
23,3,300,300,val_loss,1.6560956239700317,1.6560956239700317,139,25,19,0.8373493975903614,1.2410714285714286,0.59954641554195,0.7012195121951219,0.7326839826839826,0.5841584158415841,0.8939393939393939,0.5714285714285714,0.7065868263473054,0.7011195001301744,0.8265306122448979,59,56,42,7
24,3,300,300,val_loss,1.7498706579208374,1.7498706579208374,140,25,18,0.8333333333333334,1.25,0.5936064353062468,0.7333333333333333,0.7550505050505051,0.6195652173913043,0.8636363636363636,0.6464646464646465,0.7215189873417721,0.7328525169267,0.8161922252831344,57,64,35,9
