fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4528628587722778,1.4528628587722778,139,25,19,,,0.6078223358497096,0.7560975609756098,0.7414965986394557,0.7096774193548387,0.6666666666666666,0.8163265306122449,0.6875,0.74375,0.8356524427952998,44,80,18,22
2,1,300,299,val_loss,1.6801562309265137,1.6801562309265137,139,25,19,,,0.469496496673313,0.8109756097560976,0.7775200989486704,0.8888888888888888,0.6060606060606061,0.9489795918367347,0.7207207207207207,0.7889317889317888,0.8809523809523809,40,93,5,26
3,1,300,300,val_loss,1.5542538166046143,1.5542538166046143,139,25,19,,,0.5739973264929649,0.7682926829268293,0.7294372294372294,0.8333333333333334,0.5303030303030303,0.9285714285714286,0.6481481481481481,0.7377104377104378,0.8308596165739023,35,91,7,31
4,1,300,300,val_loss,1.449857234954834,1.449857234954834,140,25,18,,,0.548005375205255,0.7575757575757576,0.7070707070707071,0.8823529411764706,0.45454545454545453,0.9595959595959596,0.6,0.7130434782608696,0.8391490664217938,30,95,4,36
5,1,300,300,val_loss,1.4338328838348389,1.4338328838348389,140,25,18,,,0.5471887924217198,0.7757575757575758,0.7545689917758147,0.7678571428571429,0.6417910447761194,0.8673469387755102,0.6991869918699187,0.7602215152586309,0.8434358818154127,43,85,13,24
6,1,300,300,val_loss,1.5381927490234375,1.5381927490234375,140,25,18,,,0.5085722917453093,0.8121212121212121,0.7828205909229364,0.875,0.6268656716417911,0.9387755102040817,0.7304347826086957,0.7931243680485338,0.8748096253426744,42,92,6,25
7,1,300,300,val_loss,1.7535778284072876,1.7535778284072876,140,25,18,,,0.5554634669356213,0.7151515151515152,0.7200731038684131,0.625,0.746268656716418,0.6938775510204082,0.6802721088435374,0.7117207538753206,0.8071885470606153,50,68,30,17
8,1,300,300,val_loss,1.484731912612915,1.484731912612915,140,25,18,,,0.5743388998630355,0.7696969696969697,0.7565488882120013,0.7301587301587301,0.6865671641791045,0.826530612244898,0.7076923076923077,0.758846153846154,0.8263783125190375,46,81,17,21
9,1,300,300,val_loss,1.5430744886398315,1.5430744886398315,140,25,18,,,0.5192116429153275,0.7878787878787878,0.7694943649101431,0.7758620689655172,0.6716417910447762,0.8673469387755102,0.72,0.7746341463414634,0.8556198598842522,45,85,13,22
10,1,300,300,val_loss,1.5485767126083374,1.5485767126083374,140,25,18,,,0.5728276129399777,0.7757575757575758,0.7640115747791654,0.734375,0.7014925373134329,0.826530612244898,0.7175572519083969,0.7658138018335954,0.83643009442583,47,81,17,20
11,2,300,300,val_loss,1.5203797817230225,1.5203797817230225,139,25,19,,,0.5315631566865695,0.7682926829268293,0.7591218305504019,0.7121212121212122,0.7121212121212122,0.8061224489795918,0.7121212121212122,0.7591218305504019,0.8337971552257266,47,79,19,19
