fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,135,24,18,0.9308176100628931,0.9309116809116809,0.9375,0.9259259259259259,0.9358974358974359,0.9316770186335404,0.9308066621830122,0.9536245647356758,75,73,5,6
2,1,135,24,18,0.9182389937106918,0.9176163342830009,0.8953488372093024,0.9506172839506173,0.8846153846153846,0.9221556886227545,0.9180314866954833,0.9863880974992087,77,69,9,4
3,1,135,24,18,0.949685534591195,0.9494301994301995,0.9397590361445783,0.9629629629629629,0.9358974358974359,0.9512195121951219,0.949635730123535,0.9735675846786958,78,73,5,3
4,1,135,24,18,0.9182389937106918,0.9185660018993352,0.9358974358974359,0.9012345679012346,0.9358974358974359,0.9182389937106918,0.9182389937106918,0.9370053814498259,73,73,5,8
5,1,135,24,18,0.9308176100628931,0.9311490978157644,0.9487179487179487,0.9135802469135802,0.9487179487179487,0.9308176100628931,0.9308176100628931,0.9802152579930358,74,74,4,7
6,1,135,24,18,0.9245283018867925,0.9245014245014245,0.9259259259259259,0.9259259259259259,0.9230769230769231,0.9259259259259259,0.9245014245014245,0.9635960747071858,75,72,6,6
7,1,135,24,18,0.9308176100628931,0.9306742640075973,0.926829268292683,0.9382716049382716,0.9230769230769231,0.9325153374233128,0.9307737977439146,0.9730927508705285,76,72,6,5
8,1,136,24,17,0.925,0.9251445538365369,0.9367088607594937,0.9135802469135802,0.9367088607594937,0.925,0.925,0.9479606188466948,74,74,5,7
9,1,136,24,17,0.925,0.9251445538365369,0.9367088607594937,0.9135802469135802,0.9367088607594937,0.925,0.925,0.9490545397718392,74,74,5,7
10,1,136,24,17,0.9375,0.9376465072667604,0.9493670886075949,0.9259259259259259,0.9493670886075949,0.9375,0.9375,0.964369432723863,75,75,4,6
11,2,135,24,18,0.9308176100628931,0.9309116809116809,0.9375,0.9259259259259259,0.9358974358974359,0.9316770186335404,0.9308066621830122,0.96786957898069,75,73,5,6
12,2,135,24,18,0.9119496855345912,0.9116809116809117,0.9036144578313253,0.9259259259259259,0.8974358974358975,0.9146341463414634,0.9118625277161863,0.9745172522950301,75,70,8,6
13,2,135,24,18,0.9182389937106918,0.9188034188034188,0.9473684210526315,0.8888888888888888,0.9487179487179487,0.9171974522292994,0.9182260553071963,0.9705603038936372,72,74,4,9
14,2,135,24,18,0.9119496855345912,0.9121557454890789,0.9240506329113924,0.9012345679012346,0.9230769230769231,0.9125,0.9119462025316456,0.9309908198797087,73,72,6,8
15,2,135,24,18,0.9245283018867925,0.924738841405508,0.9367088607594937,0.9135802469135802,0.9358974358974359,0.925,0.9245253164556962,0.9621715732826843,74,73,5,7
16,2,135,24,18,0.9371069182389937,0.9370845204178537,0.9382716049382716,0.9382716049382716,0.9358974358974359,0.9382716049382716,0.9370845204178537,0.9510921177587844,76,73,5,5
17,2,135,24,18,0.949685534591195,0.949667616334283,0.9506172839506173,0.9506172839506173,0.9487179487179487,0.9506172839506173,0.949667616334283,0.96232985121874,77,74,4,4
18,2,136,24,17,0.925,0.9249882794186592,0.9259259259259259,0.9259259259259259,0.9240506329113924,0.9259259259259259,0.9249882794186592,0.9488982653539616,75,73,6,6
19,2,136,24,17,0.93125,0.9310048445069542,0.9166666666666666,0.9506172839506173,0.9113924050632911,0.9333333333333333,0.9311827956989247,0.9674949210814189,77,72,7,4
20,2,136,24,17,0.9375,0.9373339584310049,0.927710843373494,0.9506172839506173,0.9240506329113924,0.9390243902439024,0.9374609130706691,0.9618690420378183,77,73,6,4
21,3,135,24,18,0.9371069182389937,0.9368471035137702,0.927710843373494,0.9506172839506173,0.9230769230769231,0.9390243902439024,0.9370446626544187,0.9840139284583729,77,72,6,4
22,3,135,24,18,0.9245283018867925,0.9249762583095916,0.948051948051948,0.9012345679012346,0.9487179487179487,0.9240506329113924,0.9245253164556962,0.961855017410573,73,74,4,8
23,3,135,24,18,0.9308176100628931,0.9311490978157644,0.9487179487179487,0.9135802469135802,0.9487179487179487,0.9308176100628931,0.9308176100628931,0.9547325102880658,74,74,4,7
24,3,135,24,18,0.9056603773584906,0.9055080721747388,0.9024390243902439,0.9135802469135802,0.8974358974358975,0.9079754601226994,0.9056006332871561,0.9544159544159544,74,70,8,7
25,3,135,24,18,0.9433962264150944,0.9437321937321937,0.9615384615384616,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.9433962264150944,0.9798987021209243,75,75,3,6
26,3,135,24,18,0.9245283018867925,0.9240265906932574,0.9058823529411765,0.9506172839506173,0.8974358974358975,0.927710843373494,0.9243817374762207,0.9583729028173472,77,70,8,4
27,3,135,24,18,0.9433962264150944,0.9434947768281101,0.95,0.9382716049382716,0.9487179487179487,0.9440993788819876,0.9433872690588282,0.9708768597657487,76,74,4,5
28,3,136,24,17,0.90625,0.9064697609001406,0.9230769230769231,0.8888888888888888,0.9240506329113924,0.9056603773584906,0.9062463377475682,0.9331145491483044,72,73,6,9
29,3,136,24,17,0.9125,0.9126426004063135,0.9240506329113924,0.9012345679012346,0.9240506329113924,0.9125,0.9125,0.9321769026410377,73,73,6,8
30,3,136,24,17,0.925,0.9249882794186592,0.9259259259259259,0.9259259259259259,0.9240506329113924,0.9259259259259259,0.9249882794186592,0.9685888420065635,75,73,6,6
31,4,135,24,18,0.9245283018867925,0.924264007597341,0.9156626506024096,0.9382716049382716,0.9102564102564102,0.926829268292683,0.9244535951853026,0.9670781893004116,76,71,7,5
32,4,135,24,18,0.9245283018867925,0.924738841405508,0.9367088607594937,0.9135802469135802,0.9358974358974359,0.925,0.9245253164556962,0.9514086736308958,74,73,5,7
33,4,135,24,18,0.9371069182389937,0.9366096866096866,0.9176470588235294,0.9629629629629629,0.9102564102564102,0.9397590361445783,0.9369847812301839,0.9867046533713201,78,71,7,3
34,4,135,24,18,0.9245283018867925,0.9249762583095916,0.948051948051948,0.9012345679012346,0.9487179487179487,0.9240506329113924,0.9245253164556962,0.9830642608420386,73,74,4,8
35,4,135,24,18,0.9433962264150944,0.9430199430199431,0.9285714285714286,0.9629629629629629,0.9230769230769231,0.9454545454545454,0.9433155080213904,0.9669199113643558,78,72,6,3
