fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,29,6,4,0.9428571428571428,0.9424342105263157,0.9375,0.9375,0.9473684210526315,0.9375,0.9424342105263157,0.9901315789473685,15,18,1,1
2,1,29,6,4,0.9142857142857143,0.90625,1.0,0.8125,1.0,0.896551724137931,0.911690496215307,0.9473684210526315,13,19,0,3
3,1,29,6,4,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.9233333333333335,12,19,1,3
4,1,29,6,4,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,1.0,12,20,0,3
5,1,29,6,4,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.99,12,19,1,3
6,1,29,6,4,0.9428571428571428,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.95,0.9333333333333333,0.9416666666666667,0.95,14,19,1,1
7,1,29,6,4,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.9200000000000002,12,19,1,3
8,1,29,6,4,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.9766666666666667,12,19,1,3
9,1,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9866666666666666,13,19,1,2
10,1,30,6,3,0.9166666666666666,0.9125,0.9333333333333333,0.875,0.95,0.9032258064516129,0.9150275373721479,0.9937499999999999,14,19,1,2
11,2,29,6,4,0.9142857142857143,0.90625,1.0,0.8125,1.0,0.896551724137931,0.911690496215307,0.9835526315789473,13,19,0,3
12,2,29,6,4,0.8857142857142857,0.8799342105263157,0.9285714285714286,0.8125,0.9473684210526315,0.8666666666666667,0.8833333333333333,0.9177631578947368,13,18,1,3
13,2,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.98,13,19,1,2
14,2,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9533333333333334,13,19,1,2
15,2,29,6,4,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.99,12,19,1,3
16,2,29,6,4,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9400000000000001,12,20,0,3
17,2,29,6,4,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9233333333333333,13,20,0,2
18,2,29,6,4,0.9428571428571428,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.95,0.9333333333333333,0.9416666666666667,0.99,14,19,1,1
19,2,29,6,4,0.9714285714285714,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.9705634987384357,0.9966666666666666,14,20,0,1
20,2,30,6,3,0.8888888888888888,0.8875,0.875,0.875,0.9,0.875,0.8875,0.9656250000000001,14,18,2,2
21,3,29,6,4,0.9142857142857143,0.9161184210526316,0.8823529411764706,0.9375,0.8947368421052632,0.9090909090909091,0.914004914004914,0.9243421052631579,15,17,2,1
22,3,29,6,4,0.9142857142857143,0.90625,1.0,0.8125,1.0,0.896551724137931,0.911690496215307,0.993421052631579,13,19,0,3
23,3,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9833333333333333,13,19,1,2
24,3,29,6,4,0.8571428571428571,0.8583333333333334,0.8125,0.8666666666666667,0.85,0.8387096774193549,0.8552522746071134,0.9766666666666666,13,17,3,2
25,3,29,6,4,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9933333333333333,13,20,0,2
26,3,29,6,4,0.9714285714285714,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.9705634987384357,0.9966666666666666,14,20,0,1
27,3,29,6,4,0.8571428571428571,0.8500000000000001,0.8571428571428571,0.8,0.9,0.8275862068965517,0.8528174936921783,0.97,12,18,2,3
28,3,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.99,13,19,1,2
29,3,29,6,4,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9433333333333334,12,20,0,3
30,3,30,6,3,0.9722222222222222,0.96875,1.0,0.9375,1.0,0.967741935483871,0.971675845790716,0.996875,15,20,0,1
31,4,29,6,4,0.8571428571428571,0.8536184210526316,0.8666666666666667,0.8125,0.8947368421052632,0.8387096774193549,0.8552522746071134,0.9703947368421052,13,17,2,3
32,4,29,6,4,0.8857142857142857,0.8799342105263157,0.9285714285714286,0.8125,0.9473684210526315,0.8666666666666667,0.8833333333333333,0.930921052631579,13,18,1,3
33,4,29,6,4,0.9714285714285714,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.9705634987384357,1.0,14,20,0,1
34,4,29,6,4,0.8571428571428571,0.8500000000000001,0.8571428571428571,0.8,0.9,0.8275862068965517,0.8528174936921783,0.97,12,18,2,3
35,4,29,6,4,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9233333333333333,12,20,0,3
36,4,29,6,4,0.9428571428571428,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.95,0.9333333333333333,0.9416666666666667,0.9933333333333333,14,19,1,1
37,4,29,6,4,0.9428571428571428,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.95,0.9333333333333333,0.9416666666666667,0.9933333333333334,14,19,1,1
38,4,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9866666666666667,13,19,1,2
39,4,29,6,4,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.98,13,19,1,2
