fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.963395595550537,1.963395595550537,29,6,4,0.90625,1.1153846153846154,0.4835165022740637,0.8857142857142857,0.875,1.0,0.75,1.0,0.8571428571428571,0.8809523809523809,0.9802631578947368,12,19,0,4
2,1,175,150,val_loss,2.0576295852661133,2.0576295852661133,29,6,4,0.90625,1.1153846153846154,0.6348296658324185,0.7142857142857143,0.7023026315789473,0.75,0.5625,0.8421052631578947,0.6428571428571429,0.7023809523809523,0.799342105263158,9,16,3,7
3,1,300,300,val_loss,2.0456011295318604,2.0456011295318604,29,6,4,0.8529411764705882,1.2083333333333333,0.4996808196169421,0.8571428571428571,0.8500000000000001,0.8571428571428571,0.8,0.9,0.8275862068965517,0.8528174936921783,0.9199999999999999,12,18,2,3
4,1,300,300,val_loss,1.9045075178146362,1.9045075178146362,29,6,4,0.8529411764705882,1.2083333333333333,0.5277182770328228,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.94,12,19,1,3
5,1,86,61,val_loss,2.136674404144287,2.136674404144287,29,6,4,0.8529411764705882,1.2083333333333333,0.6676791745776492,0.5428571428571428,0.5583333333333333,0.47619047619047616,0.6666666666666666,0.45,0.5555555555555556,0.542483660130719,0.6933333333333334,10,9,11,5
6,1,300,281,val_loss,2.0181703567504883,2.0181703567504883,29,6,4,0.8529411764705882,1.2083333333333333,0.3971081013765566,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9600000000000001,13,19,1,2
7,1,300,300,val_loss,2.042174816131592,2.042174816131592,29,6,4,0.8529411764705882,1.2083333333333333,0.45084993217390856,0.8857142857142857,0.8916666666666666,0.8235294117647058,0.9333333333333333,0.85,0.875,0.8848684210526316,0.9733333333333334,14,17,3,1
8,1,300,300,val_loss,2.0146408081054688,2.0146408081054688,29,6,4,0.8529411764705882,1.2083333333333333,0.5618650809938511,0.8571428571428571,0.8416666666666666,0.9166666666666666,0.7333333333333333,0.95,0.8148148148148148,0.8492678725236864,0.9299999999999999,11,19,1,4
9,1,300,300,val_loss,2.029299020767212,2.029299020767212,29,6,4,0.8529411764705882,1.2083333333333333,0.5573603007768664,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.96,12,20,0,3
10,1,300,298,val_loss,1.9891782999038696,1.9891782999038696,30,6,3,0.8823529411764706,1.1538461538461537,0.5717796951684494,0.8611111111111112,0.85625,0.8666666666666667,0.8125,0.9,0.8387096774193549,0.8583792289535799,0.91875,13,18,2,3
11,2,300,300,val_loss,1.872642993927002,1.872642993927002,29,6,4,0.90625,1.1153846153846154,0.40665795683792666,0.9142857142857143,0.9111842105263157,0.9333333333333333,0.875,0.9473684210526315,0.9032258064516129,0.913151364764268,0.9802631578947368,14,18,1,2
