fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.9318304061889648,1.9318304061889648,29,6,4,,,0.48321676844101713,0.9142857142857143,0.90625,1.0,0.8125,1.0,0.896551724137931,0.911690496215307,0.9901315789473684,13,19,0,3
2,1,300,300,val_loss,2.0188698768615723,2.0188698768615723,29,6,4,,,0.5717942748404974,0.8285714285714286,0.8125,1.0,0.625,1.0,0.7692307692307693,0.8164335664335665,0.9407894736842105,10,19,0,6
3,1,172,147,val_loss,2.1172730922698975,2.1172730922698975,29,6,4,,,0.6069618165661185,0.7714285714285715,0.7666666666666666,0.7333333333333333,0.7333333333333333,0.8,0.7333333333333333,0.7666666666666666,0.89,11,16,4,4
4,1,300,300,val_loss,1.9002622365951538,1.9002622365951538,29,6,4,,,0.5560482376868702,0.8857142857142857,0.8666666666666667,1.0,0.7333333333333333,1.0,0.8461538461538461,0.8776223776223776,0.94,11,20,0,4
5,1,140,115,val_loss,2.118938446044922,2.118938446044922,29,6,4,,,0.623570517109662,0.7714285714285715,0.775,0.7058823529411765,0.8,0.75,0.75,0.7697368421052632,0.8466666666666667,12,15,5,3
6,1,300,300,val_loss,1.992171287536621,1.992171287536621,29,6,4,,,0.3905280639489487,0.9428571428571428,0.9416666666666667,0.9333333333333333,0.9333333333333333,0.95,0.9333333333333333,0.9416666666666667,0.9666666666666667,14,19,1,1
7,1,123,98,val_loss,2.178924560546875,2.178924560546875,29,6,4,,,0.6576447455271224,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333333,0.72,10,15,5,5
8,1,300,300,val_loss,2.0043063163757324,2.0043063163757324,29,6,4,,,0.5319937429688092,0.8285714285714286,0.8083333333333333,0.9090909090909091,0.6666666666666666,0.95,0.7692307692307693,0.8164335664335665,0.95,10,19,1,5
9,1,27,2,val_loss,2.1681032180786133,2.1681032180786133,29,6,4,,,0.7065535680839365,0.4,0.36666666666666664,0.2,0.13333333333333333,0.6,0.16,0.3466666666666667,0.37999999999999995,2,12,8,13
10,1,300,300,val_loss,2.036417245864868,2.036417245864868,30,6,3,,,0.5634114237320542,0.8611111111111112,0.85625,0.8666666666666667,0.8125,0.9,0.8387096774193549,0.8583792289535799,0.903125,13,18,2,3
11,2,300,300,val_loss,1.899681568145752,1.899681568145752,29,6,4,,,0.4148291333437441,0.9142857142857143,0.9111842105263157,0.9333333333333333,0.875,0.9473684210526315,0.9032258064516129,0.913151364764268,0.9671052631578948,14,18,1,2
12,2,91,66,val_loss,2.149923324584961,2.149923324584961,29,6,4,,,0.6337742628286446,0.6571428571428571,0.649671052631579,0.6428571428571429,0.5625,0.7368421052631579,0.6,0.6499999999999999,0.8322368421052632,9,14,5,7
13,2,300,300,val_loss,1.9591087102890015,1.9591087102890015,29,6,4,,,0.5144389948887594,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9633333333333334,12,20,0,3
14,2,300,300,val_loss,1.9960741996765137,1.9960741996765137,29,6,4,,,0.5434656358297778,0.8857142857142857,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.9,0.8666666666666667,0.8833333333333333,0.9366666666666666,13,18,2,2
15,2,300,300,val_loss,1.937974452972412,1.937974452972412,29,6,4,,,0.47561988452899706,0.8857142857142857,0.875,0.9230769230769231,0.8,0.95,0.8571428571428571,0.8809523809523809,0.9600000000000001,12,19,1,3
16,2,89,64,val_loss,2.227003574371338,2.227003574371338,29,6,4,,,0.6560378038261133,0.6857142857142857,0.6916666666666667,0.6111111111111112,0.7333333333333333,0.65,0.6666666666666666,0.6846846846846847,0.7466666666666667,11,13,7,4
17,2,30,5,val_loss,2.252674102783203,2.252674102783203,29,6,4,,,0.7127752594743667,0.42857142857142855,0.4,0.2727272727272727,0.2,0.6,0.23076923076923078,0.3881118881118881,0.38999999999999996,3,12,8,12
18,2,300,300,val_loss,1.8536850214004517,1.8536850214004517,29,6,4,,,0.5659768513018778,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9766666666666668,13,20,0,2
19,2,300,300,val_loss,1.9287456274032593,1.9287456274032593,29,6,4,,,0.4923163072474535,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9466666666666667,13,19,1,2
