fold,repeat,subject,subject_id,split
1,1,6,OHSU-2790141,fit
1,1,1,OHSU-2054998,fit
1,1,14,OHSU-6592761,fit
1,1,39,OHSU-3677724,fit
1,1,37,OHSU-8720244,fit
1,1,50,OHSU-8064456,fit
1,1,15,OHSU-3358877,fit
1,1,18,OHSU-3052540,fit
1,1,59,OHSU-2232376,fit
1,1,5,OHSU-3048401,fit
1,1,53,OHSU-5302451,fit
1,1,30,OHSU-2288903,fit
1,1,29,OHSU-1418396,fit
1,1,57,OHSU-4219416,fit
1,1,3,OHSU-3051944,fit
1,1,58,OHSU-1421489,fit
1,1,60,OHSU-3302025,fit
1,1,44,OHSU-2124248,fit
1,1,8,OHSU-8218392,fit
1,1,48,OHSU-1411223,fit
1,1,31,OHSU-2947936,fit
1,1,64,OHSU-3652932,fit
1,1,4,OHSU-1696588,fit
1,1,47,OHSU-1664335,fit
1,1,45,OHSU-3812101,fit
1,1,56,OHSU-2415970,fit
1,1,9,OHSU-2845989,fit
1,1,7,OHSU-3899622,fit
1,1,24,OHSU-2426523,fit
1,1,51,OHSU-6953386,fit
1,1,28,OHSU-2054310,fit
1,1,0,OHSU-3466651,fit
1,1,16,OHSU-3212875,fit
1,1,54,OHSU-2561174,fit
1,1,35,OHSU-1084884,fit
1,1,2,OHSU-1481430,fit
1,1,38,OHSU-3869075,fit
1,1,10,OHSU-1340333,fit
1,1,46,OHSU-3244985,fit
1,1,36,OHSU-4529116,fit
1,1,49,OHSU-2232413,fit
1,1,61,OHSU-7333005,fit
1,1,63,OHSU-1552181,fit
1,1,20,OHSU-2959809,fit
1,1,32,OHSU-2427434,fit
1,1,19,OHSU-1206380,fit
1,1,13,OHSU-1743472,fit
1,1,23,OHSU-1679142,fit
1,1,21,OHSU-2455205,fit
1,1,40,OHSU-2155356,fit
1,1,42,OHSU-2559559,inner_val
1,1,26,OHSU-1548937,inner_val
1,1,43,OHSU-3286474,inner_val
1,1,25,OHSU-3684229,inner_val
1,1,62,OHSU-1108916,inner_val
1,1,11,OHSU-3162671,inner_val
1,1,52,OHSU-1647968,inner_val
1,1,17,OHSU-2409220,inner_val
1,1,65,OHSU-4103874,inner_val
1,1,12,OHSU-4072305,outer_val
1,1,22,OHSU-1386056,outer_val
1,1,27,OHSU-4016887,outer_val
1,1,33,OHSU-1536593,outer_val
1,1,34,OHSU-2578455,outer_val
1,1,41,OHSU-9499804,outer_val
1,1,55,OHSU-1502229,outer_val
2,1,16,OHSU-3212875,fit
2,1,55,OHSU-1502229,fit
2,1,54,OHSU-2561174,fit
2,1,65,OHSU-4103874,fit
2,1,60,OHSU-3302025,fit
2,1,35,OHSU-1084884,fit
2,1,47,OHSU-1664335,fit
2,1,13,OHSU-1743472,fit
2,1,12,OHSU-4072305,fit
2,1,39,OHSU-3677724,fit
2,1,11,OHSU-3162671,fit
2,1,41,OHSU-9499804,fit
2,1,36,OHSU-4529116,fit
2,1,19,OHSU-1206380,fit
2,1,38,OHSU-3869075,fit
2,1,23,OHSU-1679142,fit
2,1,57,OHSU-4219416,fit
2,1,14,OHSU-6592761,fit
2,1,26,OHSU-1548937,fit
2,1,62,OHSU-1108916,fit
2,1,61,OHSU-7333005,fit
2,1,20,OHSU-2959809,fit
2,1,64,OHSU-3652932,fit
2,1,7,OHSU-3899622,fit
2,1,58,OHSU-1421489,fit
2,1,45,OHSU-3812101,fit
2,1,27,OHSU-4016887,fit
2,1,31,OHSU-2947936,fit
2,1,46,OHSU-3244985,fit
2,1,32,OHSU-2427434,fit
2,1,25,OHSU-3684229,fit
2,1,6,OHSU-2790141,fit
2,1,18,OHSU-3052540,fit
2,1,15,OHSU-3358877,fit
2,1,22,OHSU-1386056,fit
2,1,50,OHSU-8064456,fit
2,1,4,OHSU-1696588,fit
2,1,33,OHSU-1536593,fit
2,1,0,OHSU-3466651,fit
2,1,63,OHSU-1552181,fit
2,1,3,OHSU-3051944,fit
2,1,17,OHSU-2409220,fit
2,1,44,OHSU-2124248,fit
2,1,29,OHSU-1418396,fit
2,1,2,OHSU-1481430,fit
2,1,10,OHSU-1340333,fit
2,1,43,OHSU-3286474,fit
2,1,51,OHSU-6953386,fit
2,1,53,OHSU-5302451,fit
2,1,37,OHSU-8720244,fit
2,1,48,OHSU-1411223,inner_val
2,1,56,OHSU-2415970,inner_val
2,1,21,OHSU-2455205,inner_val
2,1,9,OHSU-2845989,inner_val
2,1,40,OHSU-2155356,inner_val
2,1,34,OHSU-2578455,inner_val
2,1,59,OHSU-2232376,inner_val
2,1,1,OHSU-2054998,inner_val
2,1,5,OHSU-3048401,inner_val
2,1,8,OHSU-8218392,outer_val
2,1,24,OHSU-2426523,outer_val
2,1,28,OHSU-2054310,outer_val
2,1,30,OHSU-2288903,outer_val
2,1,42,OHSU-2559559,outer_val
2,1,49,OHSU-2232413,outer_val
2,1,52,OHSU-1647968,outer_val
3,1,50,OHSU-8064456,fit
3,1,24,OHSU-2426523,fit
3,1,15,OHSU-3358877,fit
3,1,55,OHSU-1502229,fit
3,1,59,OHSU-2232376,fit
3,1,49,OHSU-2232413,fit
3,1,23,OHSU-1679142,fit
3,1,0,OHSU-3466651,fit
3,1,17,OHSU-2409220,fit
3,1,39,OHSU-3677724,fit
3,1,54,OHSU-2561174,fit
3,1,53,OHSU-5302451,fit
3,1,33,OHSU-1536593,fit
3,1,58,OHSU-1421489,fit
3,1,47,OHSU-1664335,fit
3,1,62,OHSU-1108916,fit
3,1,41,OHSU-9499804,fit
3,1,22,OHSU-1386056,fit
3,1,19,OHSU-1206380,fit
3,1,18,OHSU-3052540,fit
3,1,52,OHSU-1647968,fit
3,1,14,OHSU-6592761,fit
3,1,51,OHSU-6953386,fit
3,1,57,OHSU-4219416,fit
3,1,3,OHSU-3051944,fit
3,1,44,OHSU-2124248,fit
3,1,37,OHSU-8720244,fit
3,1,36,OHSU-4529116,fit
3,1,20,OHSU-2959809,fit
3,1,35,OHSU-1084884,fit
3,1,7,OHSU-3899622,fit
3,1,43,OHSU-3286474,fit
3,1,38,OHSU-3869075,fit
3,1,31,OHSU-2947936,fit
3,1,63,OHSU-1552181,fit
3,1,45,OHSU-3812101,fit
3,1,13,OHSU-1743472,fit
3,1,12,OHSU-4072305,fit
3,1,34,OHSU-2578455,fit
3,1,42,OHSU-2559559,fit
3,1,25,OHSU-3684229,fit
3,1,32,OHSU-2427434,fit
3,1,8,OHSU-8218392,fit
