fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,50,9,7,0.9152542372881356,0.9052941176470588,0.9545454545454546,0.84,0.9705882352941176,0.8936170212765957,0.911597243032664,0.951764705882353,21,33,1,4
2,1,50,9,7,0.8983050847457628,0.8958823529411765,0.88,0.88,0.9117647058823529,0.88,0.8958823529411765,0.9741176470588235,22,31,3,3
3,1,50,9,7,0.9152542372881356,0.9105882352941177,0.9166666666666666,0.88,0.9411764705882353,0.8979591836734694,0.9127477077787637,0.9211764705882352,22,32,2,3
4,1,50,9,7,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9658823529411764,23,33,1,2
5,1,50,9,7,0.8983050847457628,0.8958823529411765,0.88,0.88,0.9117647058823529,0.88,0.8958823529411765,0.9141176470588235,22,31,3,3
6,1,50,9,7,0.9152542372881356,0.9105882352941177,0.9166666666666666,0.88,0.9411764705882353,0.8979591836734694,0.9127477077787637,0.9223529411764707,22,32,2,3
7,1,51,9,6,0.9166666666666666,0.9114285714285715,0.9166666666666666,0.88,0.9428571428571428,0.8979591836734694,0.9137683242311009,0.9874285714285714,22,33,2,3
8,1,51,9,6,0.9,0.8971428571428571,0.88,0.88,0.9142857142857143,0.88,0.8971428571428571,0.9108571428571428,22,32,3,3
9,1,51,9,6,0.9,0.9027149321266968,0.8571428571428571,0.9230769230769231,0.8823529411764706,0.8888888888888888,0.898989898989899,0.9309954751131222,24,30,4,2
10,1,51,9,6,0.9166666666666666,0.9128959276018099,0.92,0.8846153846153846,0.9411764705882353,0.9019607843137255,0.9147485080988917,0.9592760180995474,23,32,2,3
11,2,50,9,7,0.8813559322033898,0.8811764705882352,0.8461538461538461,0.88,0.8823529411764706,0.8627450980392157,0.8791337430494586,0.9788235294117646,22,30,4,3
12,2,50,9,7,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9576470588235294,23,33,1,2
13,2,50,9,7,0.9322033898305084,0.9252941176470588,0.9565217391304348,0.88,0.9705882352941176,0.9166666666666666,0.9297619047619048,0.9894117647058823,22,33,1,3
14,2,50,9,7,0.8983050847457628,0.8905882352941177,0.9130434782608695,0.84,0.9411764705882353,0.875,0.8946428571428571,0.9447058823529413,21,32,2,4
15,2,50,9,7,0.8813559322033898,0.8811764705882352,0.8461538461538461,0.88,0.8823529411764706,0.8627450980392157,0.8791337430494586,0.9564705882352941,22,30,4,3
16,2,50,9,7,0.8983050847457628,0.8958823529411765,0.88,0.88,0.9117647058823529,0.88,0.8958823529411765,0.936470588235294,22,31,3,3
