fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.663665533065796,1.663665533065796,50,9,7,,,0.5906227692223248,0.7457627118644068,0.7370588235294118,0.7083333333333334,0.68,0.7941176470588235,0.6938775510204082,0.738243123336291,0.8294117647058823,17,27,7,8
2,1,300,300,val_loss,1.7590516805648804,1.7590516805648804,50,9,7,,,0.6177800491119599,0.6610169491525424,0.6423529411764706,0.6190476190476191,0.52,0.7647058823529411,0.5652173913043478,0.643719806763285,0.768235294117647,13,26,8,12
3,1,272,247,val_loss,1.8222298622131348,1.8222298622131348,50,9,7,,,0.6261952841918541,0.6610169491525424,0.6529411764705882,0.6,0.6,0.7058823529411765,0.6,0.6529411764705882,0.7482352941176471,15,24,10,10
4,1,300,300,val_loss,1.6859381198883057,1.6859381198883057,50,9,7,,,0.5999428766124131,0.711864406779661,0.6811764705882353,0.75,0.48,0.8823529411764706,0.5853658536585366,0.6822933164396578,0.8011764705882354,12,30,4,13
5,1,300,300,val_loss,1.6796916723251343,1.6796916723251343,50,9,7,,,0.5852720030560438,0.711864406779661,0.6970588235294117,0.6818181818181818,0.6,0.7941176470588235,0.6382978723404256,0.6994306263110579,0.8035294117647059,15,27,7,10
6,1,300,300,val_loss,1.7485313415527344,1.7485313415527344,50,9,7,,,0.5609094190593968,0.7288135593220338,0.7170588235294117,0.6956521739130435,0.64,0.7941176470588235,0.6666666666666666,0.719047619047619,0.7976470588235295,16,27,7,9
7,1,300,300,val_loss,1.7888497114181519,1.7888497114181519,51,9,6,,,0.5941193515624869,0.7166666666666667,0.7057142857142857,0.6666666666666666,0.64,0.7714285714285715,0.6530612244897959,0.706812302385743,0.8057142857142857,16,27,8,9
8,1,300,300,val_loss,1.6929121017456055,1.6929121017456055,51,9,6,,,0.6097389043989965,0.7,0.6685714285714286,0.7058823529411765,0.48,0.8571428571428571,0.5714285714285714,0.6703296703296704,0.7977142857142857,12,30,5,13
9,1,300,300,val_loss,1.696805715560913,1.696805715560913,51,9,6,,,0.6169556846192239,0.7166666666666667,0.7183257918552036,0.6551724137931034,0.7307692307692307,0.7058823529411765,0.6909090909090909,0.7146853146853147,0.8031674208144796,19,24,10,7
10,1,199,174,val_loss,1.873757004737854,1.873757004737854,51,9,6,,,0.6625666729338585,0.6,0.6199095022624435,0.5263157894736842,0.7692307692307693,0.47058823529411764,0.625,0.5982142857142857,0.67420814479638,20,16,18,6
11,2,300,300,val_loss,1.694694995880127,1.694694995880127,50,9,7,,,0.6092855762934073,0.7457627118644068,0.7476470588235294,0.6785714285714286,0.76,0.7352941176470589,0.7169811320754716,0.7431059506531205,0.7988235294117647,19,25,9,6
12,2,40,15,val_loss,1.9479376077651978,1.9479376077651978,50,9,7,,,0.6928113109949114,0.5423728813559322,0.5552941176470588,0.47058823529411764,0.64,0.47058823529411764,0.5423728813559322,0.5423728813559322,0.5741176470588235,16,16,18,9
