fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.6855719089508057,1.6855719089508057,50,9,7,0.8620689655172413,1.1904761904761905,0.5993471749283401,0.711864406779661,0.7076470588235295,0.6538461538461539,0.68,0.7352941176470589,0.6666666666666666,0.7064676616915423,0.8270588235294117,17,25,9,8
2,1,300,296,val_loss,1.762081503868103,1.762081503868103,50,9,7,0.8620689655172413,1.1904761904761905,0.6172145150011307,0.6610169491525424,0.658235294117647,0.5925925925925926,0.64,0.6764705882352942,0.6153846153846154,0.6561771561771562,0.7847058823529411,16,23,11,9
3,1,272,247,val_loss,1.807433843612671,1.807433843612671,50,9,7,0.8620689655172413,1.1904761904761905,0.6286840056218657,0.6271186440677966,0.6235294117647059,0.5555555555555556,0.6,0.6470588235294118,0.5769230769230769,0.6217948717948718,0.7505882352941177,15,22,12,10
4,1,300,300,val_loss,1.6849470138549805,1.6849470138549805,50,9,7,0.8620689655172413,1.1904761904761905,0.599938911675349,0.7457627118644068,0.7264705882352941,0.75,0.6,0.8529411764705882,0.6666666666666666,0.730593607305936,0.8070588235294118,15,29,5,10
5,1,300,300,val_loss,1.6933202743530273,1.6933202743530273,50,9,7,0.8620689655172413,1.1904761904761905,0.5912754392268509,0.6949152542372882,0.6823529411764706,0.6521739130434783,0.6,0.7647058823529411,0.625,0.6839285714285714,0.8105882352941176,15,26,8,10
6,1,300,300,val_loss,1.7415157556533813,1.7415157556533813,50,9,7,0.8620689655172413,1.1904761904761905,0.5622046961492276,0.7627118644067796,0.7570588235294118,0.72,0.72,0.7941176470588235,0.72,0.7570588235294118,0.8023529411764706,18,27,7,7
7,1,300,300,val_loss,1.8003277778625488,1.8003277778625488,51,9,6,0.85,1.2142857142857142,0.5996745296200762,0.7666666666666667,0.7657142857142858,0.7037037037037037,0.76,0.7714285714285715,0.7307692307692307,0.7624434389140271,0.8125714285714286,19,27,8,6
8,1,300,300,val_loss,1.7121888399124146,1.7121888399124146,51,9,6,0.85,1.2142857142857142,0.6170633155521374,0.6833333333333333,0.66,0.65,0.52,0.8,0.5777777777777777,0.6622222222222223,0.7988571428571429,13,28,7,12
9,1,27,2,val_loss,1.8848822116851807,1.8848822116851807,51,9,6,0.8793103448275862,1.1590909090909092,0.6891406087765548,0.5833333333333334,0.5780542986425339,0.5185185185185185,0.5384615384615384,0.6176470588235294,0.5283018867924528,0.5775837792171219,0.5407239819004525,14,21,13,12
10,1,181,156,val_loss,1.874490737915039,1.874490737915039,51,9,6,0.8793103448275862,1.1590909090909092,0.6697506833558798,0.5833333333333334,0.6052036199095023,0.5128205128205128,0.7692307692307693,0.4411764705882353,0.6153846153846154,0.5804195804195804,0.6674208144796381,20,15,19,6
11,2,300,300,val_loss,1.7213391065597534,1.7213391065597534,50,9,7,0.8620689655172413,1.1904761904761905,0.6165721056920689,0.6949152542372882,0.7088235294117647,0.6060606060606061,0.8,0.6176470588235294,0.6896551724137931,0.6948275862068966,0.7929411764705883,20,21,13,5
