fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4279885292053223,1.4279885292053223,139,25,19,0.8373493975903614,1.2410714285714286,0.38214589990394043,0.926829268292683,0.9264069264069263,0.8970588235294118,0.9242424242424242,0.9285714285714286,0.9104477611940298,0.9242960455454685,0.9611935683364254,61,91,7,5
2,1,293,268,val_loss,1.7742066383361816,1.7742066383361816,139,25,19,0.8373493975903614,1.2410714285714286,0.360513228912718,0.9024390243902439,0.9035250463821892,0.8571428571428571,0.9090909090909091,0.8979591836734694,0.8823529411764706,0.8995098039215685,0.9488249845392702,60,88,10,6
3,1,300,284,val_loss,1.4318764209747314,1.4318764209747314,139,25,19,0.8373493975903614,1.2410714285714286,0.3333543020992158,0.9451219512195121,0.9441867656153371,0.9253731343283582,0.9393939393939394,0.9489795918367347,0.9323308270676691,0.9430884904569115,0.9757266542980829,62,93,5,4
4,1,300,300,val_loss,1.410240888595581,1.410240888595581,140,25,18,0.8333333333333334,1.25,0.3624002219717378,0.9272727272727272,0.9191919191919191,0.9354838709677419,0.8787878787878788,0.9595959595959596,0.90625,0.9234220297029703,0.9794918885827977,58,95,4,8
5,1,300,300,val_loss,1.3293750286102295,1.3293750286102295,140,25,18,0.8433734939759037,1.2280701754385965,0.3035026772277765,0.9515151515151515,0.9450197989643618,0.9682539682539683,0.9104477611940298,0.9795918367346939,0.9384615384615385,0.9492307692307692,0.9722814498933902,61,96,2,6
6,1,300,300,val_loss,1.5459985733032227,1.5459985733032227,140,25,18,0.8433734939759037,1.2280701754385965,0.31692793994003,0.9272727272727272,0.9316935729515687,0.8767123287671232,0.9552238805970149,0.9081632653061225,0.9142857142857143,0.9255639097744361,0.9805056350898569,64,89,9,3
7,1,165,140,val_loss,1.8252407312393188,1.8252407312393188,140,25,18,0.8433734939759037,1.2280701754385965,0.4833287241609407,0.7878787878787878,0.8119859884252209,0.6702127659574468,0.9402985074626866,0.6836734693877551,0.782608695652174,0.7877540519680988,0.8994821809320743,63,67,31,4
8,1,300,276,val_loss,1.6210081577301025,1.6210081577301025,140,25,18,0.8433734939759037,1.2280701754385965,0.44409441803479377,0.9090909090909091,0.9022235759975632,0.90625,0.8656716417910447,0.9387755102040817,0.8854961832061069,0.9050596493919982,0.9377094121230581,58,92,6,9
9,1,300,300,val_loss,1.5109580755233765,1.5109580755233765,140,25,18,0.8433734939759037,1.2280701754385965,0.3853826689130177,0.9393939393939394,0.9418976545842217,0.9014084507042254,0.9552238805970149,0.9285714285714286,0.927536231884058,0.9377264492753623,0.9739567468778557,64,91,7,3
10,1,300,300,val_loss,1.4686026573181152,1.4686026573181152,140,25,18,0.8433734939759037,1.2280701754385965,0.3278863491732798,0.9454545454545454,0.942278403898873,0.9393939393939394,0.9253731343283582,0.9591836734693877,0.9323308270676691,0.9433227739399259,0.9584221748400854,62,94,4,5
11,2,300,300,val_loss,1.4699958562850952,1.4699958562850952,139,25,19,0.8373493975903614,1.2410714285714286,0.4054588149342281,0.8475609756097561,0.8625541125541125,0.7469879518072289,0.9393939393939394,0.7857142857142857,0.8322147651006712,0.8462749803156987,0.9700061842918986,62,77,21,4
12,2,300,300,val_loss,1.5592983961105347,1.5592983961105347,139,25,19,0.8373493975903614,1.2410714285714286,0.34569048880329695,0.9207317073170732,0.9138837353123068,0.9206349206349206,0.8787878787878788,0.9489795918367347,0.8992248062015504,0.9169490865178607,0.9681508967223252,58,93,5,8
13,2,300,300,val_loss,1.5634829998016357,1.5634829998016357,139,25,19,0.8373493975903614,1.2410714285714286,0.31024334200578463,0.926829268292683,0.9239332096474954,0.9090909090909091,0.9090909090909091,0.9387755102040817,0.9090909090909091,0.9239332096474954,0.9683055040197897,60,92,6,6
14,2,300,300,val_loss,1.3384366035461426,1.3384366035461426,140,25,18,0.8333333333333334,1.25,0.345865655114973,0.9393939393939394,0.9368686868686869,0.9242424242424242,0.9242424242424242,0.9494949494949495,0.9242424242424242,0.9368686868686869,0.9813284358738903,61,94,5,5
15,2,300,297,val_loss,1.4162167310714722,1.4162167310714722,140,25,18,0.8433734939759037,1.2280701754385965,0.30627328219169103,0.9393939393939394,0.9348157173317088,0.9384615384615385,0.9104477611940298,0.9591836734693877,0.9242424242424242,0.9368686868686869,0.9763935424916235,61,94,4,6
16,2,300,300,val_loss,1.4083653688430786,1.4083653688430786,140,25,18,0.8433734939759037,1.2280701754385965,0.2925951693751192,0.9636363636363636,0.9670271093512032,0.9295774647887324,0.9850746268656716,0.9489795918367347,0.9565217391304348,0.9626358695652174,0.9893390191897655,66,93,5,1
17,2,300,300,val_loss,1.6606308221817017,1.6606308221817017,140,25,18,0.8433734939759037,1.2280701754385965,0.4030330580638797,0.8606060606060606,0.8732104782211392,0.7682926829268293,0.9402985074626866,0.8061224489795918,0.8456375838926175,0.8592828803440988,0.9514163874505026,63,79,19,4
18,2,300,296,val_loss,1.3669219017028809,1.3669219017028809,140,25,18,0.8433734939759037,1.2280701754385965,0.49638665673173993,0.8848484848484849,0.881815412732257,0.8529411764705882,0.8656716417910447,0.8979591836734694,0.8592592592592593,0.8809116809116809,0.9459335973195248,58,88,10,9
19,2,300,297,val_loss,1.469181776046753,1.469181776046753,140,25,18,0.8433734939759037,1.2280701754385965,0.3367749813780162,0.9151515151515152,0.9096862625647274,0.9076923076923077,0.8805970149253731,0.9387755102040817,0.8939393939393939,0.9116161616161615,0.9631434663417606,59,92,6,8
20,2,300,299,val_loss,1.2081409692764282,1.2081409692764282,140,25,18,0.8433734939759037,1.2280701754385965,0.4232783633888216,0.9393939393939394,0.9348157173317088,0.9384615384615385,0.9104477611940298,0.9591836734693877,0.9242424242424242,0.9368686868686869,0.9652756625038076,61,94,4,6
21,3,300,300,val_loss,1.503377079963684,1.503377079963684,139,25,19,0.8373493975903614,1.2410714285714286,0.3088699748887079,0.9390243902439024,0.9316635745207174,0.9516129032258065,0.8939393939393939,0.9693877551020408,0.921875,0.9359375,0.9718614718614719,59,95,3,7
22,3,300,300,val_loss,1.224413275718689,1.224413275718689,139,25,19,0.8373493975903614,1.2410714285714286,0.3595083890701843,0.9512195121951219,0.9418676561533704,0.9833333333333333,0.8939393939393939,0.9897959183673469,0.9365079365079365,0.9484519880559484,0.9390847247990105,59,97,1,7
23,3,300,299,val_loss,1.5604099035263062,1.5604099035263062,139,25,19,0.8373493975903614,1.2410714285714286,0.2787506672797933,0.9451219512195121,0.9466604823747682,0.9130434782608695,0.9545454545454546,0.9387755102040817,0.9333333333333333,0.9433506044905009,0.9829931972789117,63,92,6,3
24,3,243,218,val_loss,1.9194343090057373,1.9194343090057373,140,25,18,0.8333333333333334,1.25,0.5134965564547079,0.7878787878787878,0.8156565656565657,0.6631578947368421,0.9545454545454546,0.6767676767676768,0.782608695652174,0.7877540519680988,0.8861340679522498,63,67,32,3
25,3,300,296,val_loss,1.6016753911972046,1.6016753911972046,140,25,18,0.8433734939759037,1.2280701754385965,0.3883724031533582,0.9030303030303031,0.9042034724337495,0.8591549295774648,0.9104477611940298,0.8979591836734694,0.8840579710144928,0.9003623188405797,0.95370088333841,61,88,10,6
26,3,300,300,val_loss,1.2471940517425537,1.2471940517425537,140,25,18,0.8433734939759037,1.2280701754385965,0.39722532476761985,0.9272727272727272,0.9246116356990557,0.9104477611940298,0.9104477611940298,0.9387755102040817,0.9104477611940298,0.9246116356990557,0.964209564422784,61,92,6,6
27,3,181,156,val_loss,1.9450500011444092,1.9450500011444092,140,25,18,0.8433734939759037,1.2280701754385965,0.48739915275333606,0.793939393939394,0.8052848004873592,0.6987951807228916,0.8656716417910447,0.7448979591836735,0.7733333333333333,0.7922222222222222,0.8971976850441669,58,73,25,9
28,3,300,300,val_loss,1.5987194776535034,1.5987194776535034,140,25,18,0.8433734939759037,1.2280701754385965,0.2838747586639048,0.9393939393939394,0.9348157173317088,0.9384615384615385,0.9104477611940298,0.9591836734693877,0.9242424242424242,0.9368686868686869,0.9757843435881814,61,94,4,6
29,3,300,293,val_loss,1.5196226835250854,1.5196226835250854,140,25,18,0.8433734939759037,1.2280701754385965,0.3155388266280864,0.9333333333333333,0.9415169052695704,0.868421052631579,0.9850746268656716,0.8979591836734694,0.9230769230769231,0.9321266968325792,0.9754797441364605,66,88,10,1
30,3,300,300,val_loss,1.2924765348434448,1.2924765348434448,140,25,18,0.8433734939759037,1.2280701754385965,0.34180474140289974,0.9454545454545454,0.9375571123971977,0.967741935483871,0.8955223880597015,0.9795918367346939,0.9302325581395349,0.9427282193682749,0.9901005178190678,60,96,2,7
31,4,300,300,val_loss,1.4478774070739746,1.4478774070739746,139,25,19,0.8373493975903614,1.2410714285714286,0.3361235391319123,0.926829268292683,0.9313543599257885,0.875,0.9545454545454546,0.9081632653061225,0.9130434782608695,0.9249427917620137,0.9887136672850958,63,89,9,3
32,4,300,300,val_loss,1.4481000900268555,1.4481000900268555,139,25,19,0.8373493975903614,1.2410714285714286,0.33787575088603417,0.9512195121951219,0.9443413729128014,0.967741935483871,0.9090909090909091,0.9795918367346939,0.9375,0.94875,0.9562461348175634,60,96,2,6
33,4,300,299,val_loss,1.3479113578796387,1.3479113578796387,139,25,19,0.8373493975903614,1.2410714285714286,0.35007699342155557,0.9634146341463414,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.9613389910419613,0.9825293753865183,60,98,0,6
34,4,300,300,val_loss,1.413722276687622,1.413722276687622,140,25,18,0.8333333333333334,1.25,0.3931538923679472,0.9030303030303031,0.8838383838383839,0.9629629629629629,0.7878787878787878,0.9797979797979798,0.8666666666666667,0.8952380952380953,0.9644934190388735,52,97,2,14
35,4,300,300,val_loss,1.5750805139541626,1.5750805139541626,140,25,18,0.8433734939759037,1.2280701754385965,0.4131843192831613,0.8909090909090909,0.8939993908010966,0.8356164383561644,0.9104477611940298,0.8775510204081632,0.8714285714285714,0.8883458646616542,0.9480657934815717,61,86,12,6
36,4,221,196,val_loss,1.6552741527557373,1.6552741527557373,140,25,18,0.8433734939759037,1.2280701754385965,0.3666926424226022,0.9212121212121213,0.9124276576302162,0.9354838709677419,0.8656716417910447,0.9591836734693877,0.8992248062015504,0.9172740946430638,0.9770027413950655,58,94,4,9
37,4,300,300,val_loss,1.4515516757965088,1.4515516757965088,140,25,18,0.8433734939759037,1.2280701754385965,0.3310795029898018,0.9333333333333333,0.9273530307645446,0.9375,0.8955223880597015,0.9591836734693877,0.916030534351145,0.9303770762207986,0.9802010356381359,60,94,4,7
38,4,139,114,val_loss,1.9001158475875854,1.9001158475875854,140,25,18,0.8433734939759037,1.2280701754385965,0.5554889844547547,0.7818181818181819,0.7974413646055437,0.6781609195402298,0.8805970149253731,0.7142857142857143,0.7662337662337663,0.7808441558441559,0.883643009442583,59,70,28,8
39,4,300,300,val_loss,1.6507773399353027,1.6507773399353027,140,25,18,0.8433734939759037,1.2280701754385965,0.37336078732948774,0.9030303030303031,0.908924763935425,0.84,0.9402985074626866,0.8775510204081632,0.8873239436619719,0.9011087803416242,0.9674078586658544,63,86,12,4
40,4,300,294,val_loss,1.2392313480377197,1.2392313480377197,140,25,18,0.8433734939759037,1.2280701754385965,0.37848654042292584,0.9333333333333333,0.9344349680170576,0.9,0.9402985074626866,0.9285714285714286,0.9197080291970803,0.9313566052721153,0.9844654279622298,63,91,7,4
41,5,300,298,val_loss,1.4674627780914307,1.4674627780914307,139,25,19,0.8373493975903614,1.2410714285714286,0.36169174956404,0.9451219512195121,0.9441867656153371,0.9253731343283582,0.9393939393939394,0.9489795918367347,0.9323308270676691,0.9430884904569115,0.9734075448361162,62,93,5,4
42,5,300,299,val_loss,1.6905244588851929,1.6905244588851929,139,25,19,0.8373493975903614,1.2410714285714286,0.3388798261868158,0.9207317073170732,0.9138837353123068,0.9206349206349206,0.8787878787878788,0.9489795918367347,0.8992248062015504,0.9169490865178607,0.9485157699443413,58,93,5,8
43,5,300,300,val_loss,1.350258231163025,1.350258231163025,139,25,19,0.8373493975903614,1.2410714285714286,0.39379053484691473,0.9207317073170732,0.9163574520717378,0.9076923076923077,0.8939393939393939,0.9387755102040817,0.9007633587786259,0.917386755531445,0.9644403215831787,59,92,6,7
