fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4712260961532593,1.4712260961532593,139,25,19,0.8373493975903614,1.2410714285714286,0.40031731382733066,0.9085365853658537,0.9111008039579468,0.8591549295774648,0.9242424242424242,0.8979591836734694,0.8905109489051095,0.9059884587457485,0.9562461348175634,61,88,10,5
2,1,250,225,val_loss,1.7945307493209839,1.7945307493209839,139,25,19,0.8373493975903614,1.2410714285714286,0.4209289192014291,0.8597560975609756,0.8603896103896104,0.8028169014084507,0.8636363636363636,0.8571428571428571,0.8321167883211679,0.8558489700768144,0.9359925788497216,57,84,14,9
3,1,300,294,val_loss,1.4021037817001343,1.4021037817001343,139,25,19,0.8373493975903614,1.2410714285714286,0.32665326575649734,0.9573170731707317,0.9543908472479901,0.9538461538461539,0.9393939393939394,0.9693877551020408,0.9465648854961832,0.9555159452861627,0.9738713667285096,62,95,3,4
4,1,300,300,val_loss,1.397402286529541,1.397402286529541,140,25,18,0.8333333333333334,1.25,0.35223352921158463,0.9393939393939394,0.9343434343434343,0.9375,0.9090909090909091,0.9595959595959596,0.9230769230769231,0.9365384615384615,0.9811753902662994,60,95,4,6
5,1,300,299,val_loss,1.3068757057189941,1.3068757057189941,140,25,18,0.8433734939759037,1.2280701754385965,0.29309256488205776,0.9575757575757575,0.9501218397806883,0.9838709677419355,0.9104477611940298,0.9897959183673469,0.9457364341085271,0.9554552817308806,0.9744136460554371,61,97,1,6
6,1,300,300,val_loss,1.5881465673446655,1.5881465673446655,140,25,18,0.8433734939759037,1.2280701754385965,0.3359080049553399,0.9272727272727272,0.9316935729515687,0.8767123287671232,0.9552238805970149,0.9081632653061225,0.9142857142857143,0.9255639097744361,0.9718245507158086,64,89,9,3
7,1,139,114,val_loss,1.8793282508850098,1.8793282508850098,140,25,18,0.8433734939759037,1.2280701754385965,0.5119523099424002,0.7515151515151515,0.7742918062747487,0.6382978723404256,0.8955223880597015,0.6530612244897959,0.7453416149068323,0.7513690323054871,0.8807493146512337,60,64,34,7
8,1,300,300,val_loss,1.5697270631790161,1.5697270631790161,140,25,18,0.8433734939759037,1.2280701754385965,0.4314040850686457,0.8666666666666667,0.8735912275357904,0.7922077922077922,0.9104477611940298,0.8367346938775511,0.8472222222222222,0.8644713261648745,0.952482485531526,61,82,16,6
9,1,300,295,val_loss,1.5334057807922363,1.5334057807922363,140,25,18,0.8433734939759037,1.2280701754385965,0.39900734622382084,0.9212121212121213,0.9124276576302162,0.9354838709677419,0.8656716417910447,0.9591836734693877,0.8992248062015504,0.9172740946430638,0.9658848614072494,58,94,4,9
10,1,300,300,val_loss,1.4502732753753662,1.4502732753753662,140,25,18,0.8433734939759037,1.2280701754385965,0.3250825330384865,0.9515151515151515,0.9473804447151994,0.9538461538461539,0.9253731343283582,0.9693877551020408,0.9393939393939394,0.9494949494949495,0.9614681693572952,62,95,3,5
11,2,300,300,val_loss,1.4510769844055176,1.4510769844055176,139,25,19,0.8373493975903614,1.2410714285714286,0.3822325758920605,0.8902439024390244,0.9032158317872604,0.8,0.9696969696969697,0.8367346938775511,0.8767123287671232,0.8889056149330121,0.9763450834879406,64,82,16,2
12,2,300,300,val_loss,1.5415021181106567,1.5415021181106567,139,25,19,0.8373493975903614,1.2410714285714286,0.35322252404862925,0.9207317073170732,0.9089363017934446,0.9491525423728814,0.8484848484848485,0.9693877551020408,0.896,0.9159802955665024,0.9667594310451453,56,95,3,10
13,2,300,290,val_loss,1.609763503074646,1.609763503074646,139,25,19,0.8373493975903614,1.2410714285714286,0.3263184183060078,0.926829268292683,0.9264069264069263,0.8970588235294118,0.9242424242424242,0.9285714285714286,0.9104477611940298,0.9242960455454685,0.966295609152752,61,91,7,5
14,2,300,300,val_loss,1.3349307775497437,1.3349307775497437,140,25,18,0.8333333333333334,1.25,0.34661827630046704,0.9393939393939394,0.9368686868686869,0.9242424242424242,0.9242424242424242,0.9494949494949495,0.9242424242424242,0.9368686868686869,0.9820936639118458,61,94,5,5
15,2,300,300,val_loss,1.4083266258239746,1.4083266258239746,140,25,18,0.8433734939759037,1.2280701754385965,0.3091762766516157,0.9393939393939394,0.9348157173317088,0.9384615384615385,0.9104477611940298,0.9591836734693877,0.9242424242424242,0.9368686868686869,0.9715199512640877,61,94,4,6
