fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,31,6,val_bce,0.6966479420661926,0.6966479420661926,135,24,18,,,0.6941140545644959,0.5157232704402516,0.5232668566001899,0.625,0.12345679012345678,0.9230769230769231,0.20618556701030927,0.4288846387087746,0.5299145299145299,10,72,6,71
2,1,51,26,val_bce,0.6901454925537109,0.6901454925537109,135,24,18,,,0.673232718008556,0.5911949685534591,0.5952041785375118,0.6739130434782609,0.38271604938271603,0.8076923076923077,0.4881889763779528,0.5739374201261491,0.6158594491927825,31,63,15,50
3,1,94,69,val_bce,0.6606173515319824,0.6606173515319824,135,24,18,,,0.6812365736856463,0.5220125786163522,0.5211301044634378,0.5287356321839081,0.5679012345679012,0.47435897435897434,0.5476190476190477,0.5204761904761905,0.571858182969294,46,37,41,35
4,1,40,15,val_bce,0.68876051902771,0.68876051902771,135,24,18,,,0.6893656033225267,0.5408805031446541,0.5358499525166192,0.5327868852459017,0.8024691358024691,0.2692307692307692,0.6403940886699507,0.5028057399871493,0.5460588793922128,65,21,57,16
5,1,300,283,val_bce,0.6583185195922852,0.6583185195922852,135,24,18,,,0.6620627894728413,0.6477987421383647,0.6479107312440646,0.6582278481012658,0.6419753086419753,0.6538461538461539,0.65,0.6477848101265823,0.6748971193415638,52,51,27,29
6,1,29,4,val_bce,0.685786247253418,0.685786247253418,135,24,18,,,0.697699643954548,0.5157232704402516,0.5208926875593543,0.5555555555555556,0.24691358024691357,0.7948717948717948,0.3418803418803419,0.479397882382957,0.46502057613168724,20,62,16,61
7,1,103,78,val_bce,0.7088751196861267,0.7088751196861267,135,24,18,,,0.6920771622320344,0.5471698113207547,0.5458214624881291,0.5494505494505495,0.6172839506172839,0.47435897435897434,0.5813953488372093,0.5441223319528512,0.5405191516302628,50,37,41,31
8,1,31,6,val_bce,0.6904374957084656,0.6904374957084656,136,24,17,,,0.7035045437100441,0.4625,0.4617909048288795,0.47191011235955055,0.5185185185185185,0.4050632911392405,0.49411764705882355,0.46039215686274515,0.43897483981872165,42,32,47,39
9,1,26,1,val_bce,0.68062424659729,0.68062424659729,136,24,17,,,0.6938146096957913,0.5375,0.5389904672605095,0.5573770491803278,0.41975308641975306,0.6582278481012658,0.4788732394366197,0.531571451178984,0.5243006719799969,34,52,27,47
10,1,76,51,val_bce,0.6743874549865723,0.6743874549865723,136,24,17,,,0.687528553614065,0.53125,0.527973120800125,0.5245901639344263,0.7901234567901234,0.26582278481012656,0.6305418719211823,0.4947581154477706,0.5796218159087356,64,21,58,17
11,2,146,121,val_bce,0.6637409925460815,0.6637409925460815,135,24,18,,,0.6856530438672981,0.5660377358490566,0.5679012345679012,0.59375,0.4691358024691358,0.6666666666666666,0.5241379310344828,0.5626470001993223,0.5878442545109211,38,52,26,43
12,2,35,10,val_bce,0.6849141120910645,0.6849141120910645,135,24,18,,,0.6919578596229857,0.5283018867924528,0.5201804368471035,0.5202702702702703,0.9506172839506173,0.08974358974358974,0.6724890829694323,0.41489622687797456,0.5572966128521684,77,7,71,4
13,2,33,8,val_bce,0.7049970626831055,0.7049970626831055,135,24,18,,,0.7059558565322145,0.4716981132075472,0.4786324786324786,0.42857142857142855,0.1111111111111111,0.8461538461538461,0.17647058823529413,0.39379084967320266,0.4851218740107629,9,66,12,72
14,2,228,203,val_bce,0.6700713634490967,0.6700713634490967,135,24,18,,,0.6540234103603882,0.610062893081761,0.6099240265906932,0.6172839506172839,0.6172839506172839,0.6025641025641025,0.6172839506172839,0.6099240265906932,0.6805951250395694,50,47,31,31
15,2,40,15,val_bce,0.70200115442276,0.70200115442276,135,24,18,,,0.7059758194806927,0.4339622641509434,0.43803418803418803,0.4,0.2222222222222222,0.6538461538461539,0.2857142857142857,0.40848214285714285,0.40946502057613166,18,51,27,63
16,2,36,11,val_bce,0.7050342559814453,0.7050342559814453,135,24,18,,,0.6893326725763465,0.5534591194968553,0.5524691358024691,0.5568181818181818,0.6049382716049383,0.5,0.5798816568047337,0.5516857948453199,0.5588793922127255,49,39,39,32
17,2,42,17,val_bce,0.6886618137359619,0.6886618137359619,135,24,18,,,0.6858068244093114,0.559748427672956,0.559116809116809,0.5647058823529412,0.5925925925925926,0.5256410256410257,0.5783132530120482,0.5588934686112872,0.5667932890155112,48,41,37,33
18,2,26,1,val_bce,0.6961638927459717,0.6961638927459717,136,24,17,,,0.6883909972709864,0.56875,0.5653227066729176,0.5483870967741935,0.8395061728395061,0.2911392405063291,0.6634146341463415,0.5317073170731708,0.5769651508048133,68,23,56,13
19,2,26,1,val_bce,0.7047514319419861,0.7047514319419861,136,24,17,,,0.7029924277965903,0.4875,0.4836693233317706,0.49612403100775193,0.7901234567901234,0.17721518987341772,0.6095238095238096,0.43203463203463205,0.42225347710579775,64,14,65,17
20,2,26,1,val_bce,0.694445788860321,0.694445788860321,136,24,17,,,0.6914352558115484,0.53125,0.5353180184403813,0.6071428571428571,0.20987654320987653,0.8607594936708861,0.3119266055045872,0.47823818426888126,0.5643069229567119,17,68,11,64
21,3,27,2,val_bce,0.7051845192909241,0.7051845192909241,135,24,18,,,0.6891895904713218,0.5157232704402516,0.5163817663817664,0.527027027027027,0.48148148148148145,0.5512820512820513,0.5032258064516129,0.5154165842074014,0.5498575498575499,39,43,35,42
22,3,52,27,val_bce,0.7094228863716125,0.7094228863716125,135,24,18,,,0.6991808666634531,0.5094339622641509,0.5011870845204178,0.5100671140939598,0.9382716049382716,0.0641025641025641,0.6608695652173913,0.38725296442687746,0.46312124089901874,76,5,73,5
23,3,33,8,val_bce,0.6887227892875671,0.6887227892875671,135,24,18,,,0.7118543102560574,0.44025157232704404,0.4451566951566952,0.39473684210526316,0.18518518518518517,0.7051282051282052,0.25210084033613445,0.4024323297158059,0.40250079138968026,15,55,23,66
24,3,26,1,val_bce,0.7020432353019714,0.7020432353019714,135,24,18,,,0.7045931157154625,0.41509433962264153,0.41927825261158597,0.36363636363636365,0.19753086419753085,0.6410256410256411,0.256,0.38706735751295335,0.43178220955998736,16,50,28,65
25,3,33,8,val_bce,0.6684277653694153,0.6684277653694153,135,24,18,,,0.677780205106447,0.610062893081761,0.6099240265906932,0.6172839506172839,0.6172839506172839,0.6025641025641025,0.6172839506172839,0.6099240265906932,0.6541627097182653,50,47,31,31
26,3,232,207,val_bce,0.679358959197998,0.679358959197998,135,24,18,,,0.6845385119649814,0.5660377358490566,0.5633903133903134,0.5588235294117647,0.7037037037037037,0.4230769230769231,0.6229508196721312,0.55591985428051,0.6225071225071225,57,33,45,24
27,3,45,20,val_bce,0.7055839896202087,0.7055839896202087,135,24,18,,,0.6972583512702689,0.5094339622641509,0.5049857549857549,0.5128205128205128,0.7407407407407407,0.2692307692307692,0.6060606060606061,0.478030303030303,0.4647040202595758,60,21,57,21
28,3,229,204,val_bce,0.6872251033782959,0.6872251033782959,136,24,17,,,0.6779011293653672,0.59375,0.5942334739803095,0.6081081081081081,0.5555555555555556,0.6329113924050633,0.5806451612903226,0.5933528836754643,0.6079074855446163,45,50,29,36
