fold,subject,split
1,133,fit
1,64,fit
1,157,fit
1,115,fit
1,90,fit
1,33,fit
1,117,fit
1,126,fit
1,87,fit
1,142,fit
1,128,fit
1,16,fit
1,92,fit
1,131,fit
1,163,fit
1,24,fit
1,6,fit
1,52,fit
1,9,fit
1,72,fit
1,161,fit
1,47,fit
1,32,fit
1,37,fit
1,58,fit
1,172,fit
1,159,fit
1,102,fit
1,114,fit
1,71,fit
1,68,fit
1,129,fit
1,18,fit
1,176,fit
1,67,fit
1,76,fit
1,124,fit
1,15,fit
1,99,fit
1,35,fit
1,14,fit
1,53,fit
1,138,fit
1,74,fit
1,164,fit
1,120,fit
1,83,fit
1,29,fit
1,121,fit
1,26,fit
1,118,fit
1,86,fit
1,4,fit
1,21,fit
1,55,fit
1,60,fit
1,130,fit
1,22,fit
1,140,fit
1,31,fit
1,155,fit
1,132,fit
1,43,fit
1,119,fit
1,7,fit
1,137,fit
1,144,fit
1,85,fit
1,127,fit
1,135,fit
1,101,fit
1,116,fit
1,56,fit
1,38,fit
1,50,fit
1,134,fit
1,104,fit
1,97,fit
1,112,fit
1,59,fit
1,51,fit
1,63,fit
1,17,fit
1,84,fit
1,75,fit
1,143,fit
1,69,fit
1,65,fit
1,109,fit
1,94,fit
1,149,fit
1,1,fit
1,27,fit
1,42,fit
1,173,fit
1,79,fit
1,167,fit
1,30,fit
1,10,fit
1,89,fit
1,160,fit
1,150,fit
1,122,fit
1,110,fit
1,152,fit
1,162,fit
1,96,fit
1,49,fit
1,175,fit
1,95,fit
1,148,fit
1,174,fit
1,146,fit
1,169,fit
1,62,fit
1,8,fit
1,170,fit
1,91,fit
1,154,fit
1,78,fit
1,61,fit
1,81,fit
1,57,fit
1,171,fit
1,45,fit
1,44,fit
1,113,fit
1,25,fit
1,136,fit
1,5,fit
1,11,fit
1,80,fit
1,12,fit
1,123,fit
1,93,fit
1,153,inner_val
1,20,inner_val
1,54,inner_val
1,98,inner_val
1,40,inner_val
1,158,inner_val
1,23,inner_val
1,3,inner_val
1,105,inner_val
1,28,inner_val
1,147,inner_val
1,2,inner_val
1,46,inner_val
1,19,inner_val
1,39,inner_val
1,106,inner_val
1,139,inner_val
1,145,inner_val
1,36,inner_val
1,73,inner_val
1,70,inner_val
1,108,inner_val
1,125,inner_val
1,0,inner_val
1,13,outer_val
1,34,outer_val
1,41,outer_val
1,48,outer_val
1,66,outer_val
1,77,outer_val
1,82,outer_val
1,88,outer_val
1,100,outer_val
1,103,outer_val
1,107,outer_val
1,111,outer_val
1,141,outer_val
1,151,outer_val
1,156,outer_val
1,165,outer_val
1,166,outer_val
1,168,outer_val
2,146,fit
2,140,fit
2,65,fit
2,91,fit
2,119,fit
2,26,fit
2,172,fit
2,56,fit
2,151,fit
2,94,fit
2,115,fit
2,31,fit
2,174,fit
2,36,fit
2,129,fit
2,70,fit
2,107,fit
2,58,fit
2,10,fit
2,163,fit
2,16,fit
2,27,fit
2,164,fit
2,18,fit
2,55,fit
2,80,fit
2,156,fit
2,159,fit
2,157,fit
2,134,fit
2,160,fit
2,24,fit
2,92,fit
2,158,fit
2,149,fit
2,1,fit
2,49,fit
2,97,fit
2,109,fit
2,15,fit
2,32,fit
2,78,fit
2,9,fit
2,86,fit
2,106,fit
2,130,fit
2,11,fit
2,13,fit
2,103,fit
2,81,fit
2,95,fit
2,155,fit
2,22,fit
2,128,fit
2,100,fit
2,48,fit
2,4,fit
2,43,fit
2,67,fit
2,96,fit
2,132,fit
2,87,fit
2,108,fit
2,62,fit
2,59,fit
2,6,fit
2,23,fit
2,114,fit
2,50,fit
2,101,fit
2,75,fit
2,61,fit
2,131,fit
2,85,fit
2,137,fit
2,25,fit
2,111,fit
2,116,fit
2,89,fit
2,45,fit
2,117,fit
2,161,fit
2,66,fit
2,33,fit
2,82,fit
2,168,fit
2,3,fit
2,37,fit
2,152,fit
2,113,fit
2,139,fit
2,145,fit
2,170,fit
2,8,fit
2,121,fit
2,167,fit
2,112,fit
2,0,fit
2,51,fit
2,90,fit
2,124,fit
2,98,fit
2,42,fit
2,171,fit
2,44,fit
2,2,fit
2,153,fit
2,28,fit
2,64,fit
2,5,fit
2,21,fit
2,74,fit
2,169,fit
2,69,fit
2,54,fit
2,17,fit
2,41,fit
2,52,fit
2,53,fit
2,144,fit
2,120,fit
2,40,fit
2,68,fit
2,122,fit
2,126,fit
2,93,fit
2,136,fit
2,71,fit
2,118,fit
2,63,fit
2,166,fit
2,76,fit
2,123,fit
2,154,fit
2,142,fit
2,110,inner_val
2,127,inner_val
2,88,inner_val
2,57,inner_val
2,148,inner_val
2,34,inner_val
2,165,inner_val
2,35,inner_val
2,14,inner_val
2,150,inner_val
2,143,inner_val
2,20,inner_val
2,147,inner_val
2,77,inner_val
2,84,inner_val
2,125,inner_val
2,173,inner_val
2,39,inner_val
2,176,inner_val
2,38,inner_val
2,141,inner_val
2,105,inner_val
2,46,inner_val
2,138,inner_val
2,7,outer_val
2,12,outer_val
2,19,outer_val
2,29,outer_val
