fold,repeat,n_epochs,best_epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives
1,1,101,1,0.5220125913619995,0.49865466356277466,53.0,23.0,0.6958377361297607,0.5490196347236633,0.34567901492118835,55.0,28.0
2,1,105,5,0.6792452931404114,0.7283950448036194,14.0,37.0,0.65487140417099,0.6442307829856873,0.8271604776382446,41.0,67.0
3,1,107,7,0.6603773832321167,0.7134377956390381,19.0,35.0,0.6594327092170715,0.6391752362251282,0.7654321193695068,43.0,62.0
4,1,117,17,0.7358490824699402,0.8265272974967957,16.0,26.0,0.53214031457901,0.7142857313156128,0.8024691343307495,52.0,65.0
5,1,108,8,0.6477987170219421,0.745330810546875,26.0,30.0,0.6357066035270691,0.6470588445663452,0.6790123581886292,48.0,55.0
6,1,108,8,0.6666666865348816,0.7190566658973694,20.0,33.0,0.6466070413589478,0.6489361524581909,0.7530864477157593,45.0,61.0
7,1,118,18,0.7358490824699402,0.8106995820999146,22.0,20.0,0.5480064153671265,0.746835470199585,0.7283950448036194,58.0,59.0
8,1,101,1,0.550000011920929,0.6240819096565247,12.0,60.0,0.6823748350143433,0.5348837375640869,0.8518518805503845,19.0,69.0
9,1,101,1,0.4937500059604645,0.5125019550323486,3.0,78.0,0.7003322839736938,0.5,0.9629629850387573,1.0,78.0
10,1,102,2,0.5249999761581421,0.614392876625061,11.0,65.0,0.6833993792533875,0.5185185074806213,0.8641975522041321,14.0,70.0
11,2,101,1,0.5471698045730591,0.5891104340553284,17.0,55.0,0.6867637634277344,0.5378151535987854,0.790123462677002,23.0,64.0
12,2,101,1,0.48427674174308777,0.49794238805770874,54.0,28.0,0.6949291825294495,0.4909090995788574,0.3333333432674408,50.0,27.0
13,2,109,9,0.6666666865348816,0.7513453960418701,18.0,35.0,0.6430204510688782,0.6428571343421936,0.7777777910232544,43.0,63.0
14,2,123,23,0.7987421154975891,0.8933206796646118,8.0,24.0,0.4480384588241577,0.7525773048400879,0.9012345671653748,54.0,73.0
15,2,102,2,0.5849056839942932,0.6105571389198303,17.0,49.0,0.6828008890151978,0.5663716793060303,0.790123462677002,29.0,64.0
16,2,101,1,0.5031446814537048,0.5087844133377075,55.0,24.0,0.6924532055854797,0.5199999809265137,0.32098764181137085,54.0,26.0
17,2,107,7,0.6855345964431763,0.7326685190200806,21.0,29.0,0.6484233736991882,0.6741573214530945,0.7407407164573669,49.0,60.0
18,2,101,1,0.46875,0.42553526163101196,64.0,21.0,0.7037431001663208,0.44736841320991516,0.20987653732299805,58.0,17.0
19,2,130,30,0.9312499761581421,0.9588217735290527,7.0,4.0,0.2638346552848816,0.9487179517745972,0.9135802388191223,75.0,74.0
20,2,101,1,0.4937500059604645,0.5401625633239746,35.0,46.0,0.6888287663459778,0.5,0.5679012537002563,33.0,46.0
21,3,101,1,0.49685534834861755,0.49327319860458374,50.0,30.0,0.6959980726242065,0.5081967115402222,0.3827160596847534,48.0,31.0
22,3,124,24,0.9119496941566467,0.9404875040054321,5.0,9.0,0.3093631863594055,0.8941176533699036,0.9382715821266174,69.0,76.0
23,3,101,1,0.6100628972053528,0.6240107417106628,24.0,38.0,0.6826111674308777,0.6000000238418579,0.7037037014961243,40.0,57.0
24,3,102,2,0.5911949872970581,0.6237733364105225,14.0,51.0,0.6803474426269531,0.5677965879440308,0.8271604776382446,27.0,67.0
25,3,107,7,0.6289308071136475,0.7113801836967468,17.0,42.0,0.6563659906387329,0.6037735939025879,0.790123462677002,36.0,64.0
26,3,107,7,0.6477987170219421,0.7196897268295288,10.0,46.0,0.6654955148696899,0.6068376302719116,0.8765432238578796,32.0,71.0
27,3,106,6,0.6226415038108826,0.6666666865348816,19.0,41.0,0.6704719662666321,0.6019417643547058,0.7654321193695068,37.0,62.0
28,3,108,8,0.6625000238418579,0.7269885540008545,26.0,28.0,0.646889328956604,0.6626505851745605,0.6790123581886292,51.0,55.0
29,3,101,1,0.512499988079071,0.6307236552238464,5.0,73.0,0.6830235719680786,0.5100671052932739,0.9382715821266174,6.0,76.0
30,3,101,1,0.48124998807907104,0.5162525177001953,31.0,52.0,0.692193865776062,0.4901960790157318,0.6172839403152466,27.0,50.0
31,4,111,11,0.6792452931404114,0.7507122755050659,25.0,26.0,0.6150301694869995,0.6829268336296082,0.6913580298423767,52.0,56.0
32,4,112,12,0.6666666865348816,0.7735834717750549,29.0,24.0,0.6001973748207092,0.6842105388641357,0.6419752836227417,54.0,52.0
33,4,102,2,0.553459107875824,0.5923551917076111,21.0,50.0,0.6847809553146362,0.5454545617103577,0.7407407164573669,28.0,60.0
34,4,107,7,0.6477987170219421,0.6738682985305786,21.0,35.0,0.6617461442947388,0.6315789222717285,0.7407407164573669,43.0,60.0
35,4,101,1,0.5283018946647644,0.5299936532974243,27.0,48.0,0.6914922595024109,0.529411792755127,0.6666666865348816,30.0,54.0
36,4,105,5,0.6289308071136475,0.6805160045623779,14.0,45.0,0.6707526445388794,0.5982142686843872,0.8271604776382446,33.0,67.0
37,4,106,6,0.6037735939025879,0.6873219013214111,26.0,37.0,0.6582589745521545,0.5978260636329651,0.6790123581886292,41.0,55.0
38,4,103,3,0.5687500238418579,0.6285357475280762,20.0,49.0,0.6789759397506714,0.5545454621315002,0.7530864477157593,30.0,61.0
39,4,101,1,0.574999988079071,0.5785279273986816,24.0,44.0,0.6842824220657349,0.5643564462661743,0.7037037014961243,35.0,57.0
40,4,102,2,0.5562499761581421,0.6391623616218567,24.0,47.0,0.6780216097831726,0.5480769276618958,0.7037037014961243,32.0,57.0
41,5,110,10,0.6352201104164124,0.7290281057357788,30.0,28.0,0.6227543950080872,0.6455696225166321,0.6296296119689941,50.0,51.0
42,5,131,31,0.9245283007621765,0.9788698554039001,2.0,10.0,0.20076346397399902,0.8876404762268066,0.9753086566925049,68.0,79.0
43,5,113,13,0.7106918096542358,0.7726337909698486,26.0,20.0,0.5878643989562988,0.7333333492279053,0.6790123581886292,58.0,55.0
44,5,102,2,0.5031446814537048,0.49667617678642273,59.0,20.0,0.696014940738678,0.523809552192688,0.2716049253940582,58.0,22.0
45,5,113,13,0.7232704162597656,0.7981956005096436,10.0,34.0,0.5896062254905701,0.6761904954910278,0.8765432238578796,44.0,71.0
46,5,101,1,0.5597484111785889,0.5923551917076111,14.0,56.0,0.6847813725471497,0.5447154641151428,0.8271604776382446,22.0,67.0
47,5,101,1,0.5031446814537048,0.5267489552497864,20.0,59.0,0.6915748715400696,0.5083333253860474,0.7530864477157593,19.0,61.0
48,5,101,1,0.5375000238418579,0.5868885517120361,7.0,67.0,0.68860924243927,0.5248227119445801,0.9135802388191223,12.0,74.0
49,5,101,1,0.44999998807907104,0.4914049506187439,16.0,72.0,0.6945699453353882,0.47445255517959595,0.8024691343307495,7.0,65.0
50,5,102,2,0.512499988079071,0.551023542881012,9.0,69.0,0.690739631652832,0.5106382966041565,0.8888888955116272,10.0,72.0
