fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.617295265197754,1.617295265197754,135,24,18,,,0.550874287424755,0.7610062893081762,0.7613960113960114,0.7792207792207793,0.7407407407407407,0.782051282051282,0.759493670886076,0.760996835443038,0.8311174422285533,60,61,17,21
2,1,300,297,val_loss,1.6400518417358398,1.6400518417358398,135,24,18,,,0.42945352267497067,0.8742138364779874,0.8748812915479582,0.9066666666666666,0.8395061728395061,0.9102564102564102,0.8717948717948718,0.8741690408357075,0.949667616334283,68,71,7,13
3,1,300,300,val_loss,1.5479503870010376,1.5479503870010376,135,24,18,,,0.4879973848997575,0.8113207547169812,0.8110161443494777,0.8072289156626506,0.8271604938271605,0.7948717948717948,0.8170731707317073,0.8111339879632562,0.9086736308958531,67,62,16,14
4,1,300,300,val_loss,1.4957777261734009,1.4957777261734009,135,24,18,,,0.47472630444541974,0.7987421383647799,0.8015194681861348,0.9298245614035088,0.654320987654321,0.9487179487179487,0.7681159420289855,0.7951690821256039,0.9118391896169673,53,74,4,28
5,1,300,300,val_loss,1.5346757173538208,1.5346757173538208,135,24,18,,,0.44222728648074106,0.8616352201257862,0.8601614434947769,0.8172043010752689,0.9382716049382716,0.782051282051282,0.8735632183908046,0.8603927203065134,0.9226020892687559,76,61,17,5
6,1,300,300,val_loss,1.679857611656189,1.679857611656189,135,24,18,,,0.4361440814196128,0.8490566037735849,0.8471035137701804,0.7938144329896907,0.9506172839506173,0.7435897435897436,0.8651685393258427,0.8468699839486357,0.930832541943653,77,58,20,4
7,1,300,300,val_loss,1.6862235069274902,1.6862235069274902,135,24,18,,,0.48443398883931177,0.8176100628930818,0.8164767331433997,0.7888888888888889,0.8765432098765432,0.7564102564102564,0.8304093567251462,0.8165652225802602,0.8994935106046218,71,59,19,10
8,1,300,300,val_loss,1.5470219850540161,1.5470219850540161,136,24,17,,,0.49382880493847453,0.86875,0.8686513517737147,0.8658536585365854,0.8765432098765432,0.8607594936708861,0.8711656441717791,0.8687038411941699,0.9210814189717142,71,68,11,10
9,1,300,300,val_loss,1.600401520729065,1.600401520729065,136,24,17,,,0.44583773440990593,0.86875,0.8692764494452259,0.9054054054054054,0.8271604938271605,0.9113924050632911,0.864516129032258,0.8686217008797654,0.9217065166432254,67,72,7,14
10,1,300,300,val_loss,1.5029836893081665,1.5029836893081665,136,24,17,,,0.4958548648818386,0.8,0.8016877637130801,0.9152542372881356,0.6666666666666666,0.9367088607594937,0.7714285714285715,0.7968253968253969,0.9188935771214253,54,74,5,27
11,2,300,300,val_loss,1.5253978967666626,1.5253978967666626,135,24,18,,,0.45305506641563514,0.8364779874213837,0.8338081671415005,0.7669902912621359,0.9753086419753086,0.6923076923076923,0.8586956521739131,0.8323329007138223,0.9390629946185501,79,54,24,2
12,2,300,300,val_loss,1.7424267530441284,1.7424267530441284,135,24,18,,,0.4865057041609704,0.7924528301886793,0.7951092117758785,0.9137931034482759,0.654320987654321,0.9358974358974359,0.762589928057554,0.7891161930790563,0.8983855650522317,53,73,5,28
13,2,300,300,val_loss,1.6409968137741089,1.6409968137741089,135,24,18,,,0.4535072593333628,0.8364779874213837,0.8383190883190883,0.9230769230769231,0.7407407407407407,0.9358974358974359,0.821917808219178,0.8353775087607518,0.9317822095599873,60,73,5,21
14,2,300,291,val_loss,1.5245193243026733,1.5245193243026733,135,24,18,,,0.5503227773785956,0.7610062893081762,0.7632953466286799,0.8524590163934426,0.6419753086419753,0.8846153846153846,0.7323943661971831,0.7582426376440461,0.8504273504273504,52,69,9,29
15,2,300,300,val_loss,1.4641989469528198,1.4641989469528198,135,24,18,,,0.4794483805435165,0.8867924528301887,0.8879392212725545,0.9436619718309859,0.8271604938271605,0.9487179487179487,0.881578947368421,0.886572606214331,0.9446027223805001,67,74,4,14
16,2,300,300,val_loss,1.6405175924301147,1.6405175924301147,135,24,18,,,0.49984279807361104,0.8742138364779874,0.874406457739791,0.8860759493670886,0.8641975308641975,0.8846153846153846,0.875,0.8742088607594937,0.9180120291231403,70,69,9,11
17,2,300,300,val_loss,1.5256967544555664,1.5256967544555664,135,24,18,,,0.3844508434369865,0.9056603773584906,0.9040835707502374,0.851063829787234,0.9876543209876543,0.8205128205128205,0.9142857142857143,0.9046953046953047,0.9680278569167458,80,64,14,1
18,2,274,249,val_loss,1.5997792482376099,1.5997792482376099,136,24,17,,,0.5823438409376596,0.70625,0.708001250195343,0.7931034482758621,0.5679012345679012,0.8481012658227848,0.6618705035971223,0.7011009976549147,0.8299734333489607,46,67,12,35
19,2,300,300,val_loss,1.437752366065979,1.437752366065979,136,24,17,,,0.4446471801274655,0.86875,0.8680262541022035,0.8333333333333334,0.9259259259259259,0.810126582278481,0.8771929824561403,0.868126692570352,0.9554617909048289,75,64,15,6
20,2,300,300,val_loss,1.3975592851638794,1.3975592851638794,136,24,17,,,0.5675585848120309,0.7875,0.7877793405219565,0.8051948051948052,0.7654320987654321,0.810126582278481,0.7848101265822784,0.7874667916862009,0.8643538052820753,62,64,15,19
21,3,300,300,val_loss,1.7854233980178833,1.7854233980178833,135,24,18,,,0.4705825903707,0.8301886792452831,0.8311965811965811,0.875,0.7777777777777778,0.8846153846153846,0.8235294117647058,0.829946524064171,0.899335232668566,63,69,9,18
22,3,300,300,val_loss,1.3341084718704224,1.3341084718704224,135,24,18,,,0.556069193755508,0.7672955974842768,0.7704178537511871,0.9074074074074074,0.6049382716049383,0.9358974358974359,0.725925925925926,0.7618700667880995,0.9112060778727445,49,73,5,32
23,3,300,298,val_loss,1.8780455589294434,1.8780455589294434,135,24,18,,,0.3908265326517251,0.8867924528301887,0.8865147198480532,0.8795180722891566,0.9012345679012346,0.8717948717948718,0.8902439024390244,0.8866803927779537,0.9384298828743273,73,68,10,8
24,3,300,300,val_loss,1.6980336904525757,1.6980336904525757,135,24,18,,,0.4755392092627405,0.8679245283018868,0.8691832858499525,0.9285714285714286,0.8024691358024691,0.9358974358974359,0.8609271523178808,0.8675893246619344,0.9150047483380817,65,73,5,16
25,3,300,300,val_loss,1.6391425132751465,1.6391425132751465,135,24,18,,,0.41295448710688454,0.8742138364779874,0.8729819563152896,0.8351648351648352,0.9382716049382716,0.8076923076923077,0.8837209302325582,0.8733673144313476,0.9434947768281102,76,63,15,5
26,3,300,285,val_loss,1.3940166234970093,1.3940166234970093,135,24,18,,,0.49349600616866435,0.7987421383647799,0.8015194681861348,0.9298245614035088,0.654320987654321,0.9487179487179487,0.7681159420289855,0.7951690821256039,0.9366888255777144,53,74,4,28
27,3,300,298,val_loss,1.5642528533935547,1.5642528533935547,135,24,18,,,0.43270715323236747,0.8427672955974843,0.8416429249762583,0.8111111111111111,0.9012345679012346,0.782051282051282,0.8538011695906432,0.8418665711898794,0.9335232668566001,73,61,17,8
28,3,300,286,val_loss,1.6773223876953125,1.6773223876953125,136,24,17,,,0.4681605183569276,0.86875,0.8692764494452259,0.9054054054054054,0.8271604938271605,0.9113924050632911,0.864516129032258,0.8686217008797654,0.9142053445850914,67,72,7,14
29,3,300,300,val_loss,1.7528971433639526,1.7528971433639526,136,24,17,,,0.49465026957470065,0.825,0.8249726519768714,0.8271604938271605,0.8271604938271605,0.8227848101265823,0.8271604938271605,0.8249726519768714,0.8840443819346772,67,65,14,14
30,3,300,300,val_loss,1.5230731964111328,1.5230731964111328,136,24,17,,,0.5080366119095288,0.79375,0.7956711986247851,0.9285714285714286,0.6419753086419753,0.9493670886075949,0.7591240875912408,0.7893981093693909,0.8898265353961556,52,75,4,29
31,4,300,300,val_loss,1.5374635457992554,1.5374635457992554,135,24,18,,,0.5495823131682792,0.779874213836478,0.7799145299145299,0.7875,0.7777777777777778,0.782051282051282,0.782608695652174,0.7798393796732208,0.8630895853118075,63,61,17,18
32,4,300,291,val_loss,1.6399531364440918,1.6399531364440918,135,24,18,,,0.4729492889508333,0.8238993710691824,0.8259734093067426,0.9206349206349206,0.7160493827160493,0.9358974358974359,0.8055555555555556,0.8223180076628352,0.9213358657803101,58,73,5,23
33,4,300,300,val_loss,1.4372698068618774,1.4372698068618774,135,24,18,,,0.531382951203732,0.8113207547169812,0.8105413105413106,0.7931034482758621,0.8518518518518519,0.7692307692307693,0.8214285714285714,0.8107142857142857,0.905349794238683,69,60,18,12
34,4,300,300,val_loss,1.5116229057312012,1.5116229057312012,135,24,18,,,0.550946208348383,0.7672955974842768,0.7704178537511871,0.9074074074074074,0.6049382716049383,0.9358974358974359,0.725925925925926,0.7618700667880995,0.873852484963596,49,73,5,32
35,4,300,300,val_loss,1.6421560049057007,1.6421560049057007,135,24,18,,,0.5584473123427378,0.7358490566037735,0.7378917378917379,0.8095238095238095,0.6296296296296297,0.8461538461538461,0.7083333333333334,0.7334770114942528,0.8773345995568217,51,66,12,30
36,4,300,300,val_loss,1.5463768243789673,1.5463768243789673,135,24,18,,,0.47492421608426116,0.8616352201257862,0.8615859449192782,0.8641975308641975,0.8641975308641975,0.8589743589743589,0.8641975308641975,0.8615859449192782,0.9226020892687559,70,67,11,11
37,4,300,300,val_loss,1.5639883279800415,1.5639883279800415,135,24,18,,,0.4241419180313367,0.8867924528301887,0.8874643874643875,0.92,0.8518518518518519,0.9230769230769231,0.8846153846153846,0.8867521367521367,0.9436530547641658,69,72,6,12
38,4,300,295,val_loss,1.79458487033844,1.79458487033844,136,24,17,,,0.5605255083926636,0.7375,0.7391779965619628,0.8305084745762712,0.6049382716049383,0.8734177215189873,0.7,0.7333333333333334,0.8463822472261291,49,69,10,32
39,4,299,274,val_loss,1.939857840538025,1.939857840538025,136,24,17,,,0.49349836829557736,0.76875,0.766916705735271,0.7115384615384616,0.9135802469135802,0.620253164556962,0.8,0.7629629629629631,0.8763869354586653,74,49,30,7
40,4,300,297,val_loss,1.4734495878219604,1.4734495878219604,136,24,17,,,0.4507631523297542,0.89375,0.8942803563056727,0.9324324324324325,0.8518518518518519,0.9367088607594937,0.8903225806451613,0.8936461388074292,0.9423347398030942,69,74,5,12
41,5,300,294,val_loss,1.6773852109909058,1.6773852109909058,135,24,18,,,0.5496042682387949,0.7861635220125787,0.7879867046533713,0.8615384615384616,0.691358024691358,0.8846153846153846,0.7671232876712328,0.7847244345332909,0.8547008547008547,56,69,9,25
42,5,254,229,val_loss,1.7800745964050293,1.7800745964050293,135,24,18,,,0.5171433203243009,0.779874213836478,0.7775403608736942,0.73,0.9012345679012346,0.6538461538461539,0.8066298342541437,0.7755776908496996,0.8817663817663818,73,51,27,8
43,5,300,300,val_loss,1.3025331497192383,1.3025331497192383,135,24,18,,,0.5216685341035926,0.8238993710691824,0.8264482431149098,0.9491525423728814,0.691358024691358,0.9615384615384616,0.8,0.8213483146067415,0.9433364988920543,56,75,3,25
44,5,300,300,val_loss,1.7179805040359497,1.7179805040359497,135,24,18,,,0.5385972751531395,0.8176100628930818,0.8164767331433997,0.7888888888888889,0.8765432098765432,0.7564102564102564,0.8304093567251462,0.8165652225802602,0.8602405824628047,71,59,19,10
45,5,220,195,val_loss,1.8133045434951782,1.8133045434951782,135,24,18,,,0.5368032349511254,0.779874213836478,0.7794396961063628,0.7738095238095238,0.8024691358024691,0.7564102564102564,0.7878787878787878,0.7795603089720737,0.8520101297879076,65,59,19,16
46,5,251,226,val_loss,1.9820760488510132,1.9820760488510132,135,24,18,,,0.49351620195692864,0.8050314465408805,0.8027065527065527,0.75,0.9259259259259259,0.6794871794871795,0.8287292817679558,0.8012259547525911,0.9070908515352959,75,53,25,6
47,5,300,298,val_loss,1.4704545736312866,1.4704545736312866,135,24,18,,,0.4998051282447507,0.8427672955974843,0.8411680911680912,0.7978723404255319,0.9259259259259259,0.7564102564102564,0.8571428571428571,0.8411588411588411,0.9320987654320988,75,59,19,6
48,5,296,271,val_loss,1.8674942255020142,1.8674942255020142,136,24,17,,,0.5405142710932165,0.775,0.7740271917487107,0.7419354838709677,0.8518518518518519,0.6962025316455697,0.7931034482758621,0.7732640529050543,0.8468510704797625,69,55,24,12
49,5,300,300,val_loss,1.5222744941711426,1.5222744941711426,136,24,17,,,0.4796381482615666,0.8125,0.8140334427254259,0.9180327868852459,0.691358024691358,0.9367088607594937,0.7887323943661971,0.8100965342617503,0.922019065478981,56,74,5,25
50,5,300,300,val_loss,1.6377681493759155,1.6377681493759155,136,24,17,,,0.5012934126968698,0.80625,0.8067666822941084,0.8378378378378378,0.7654320987654321,0.8481012658227848,0.8,0.8060606060606061,0.8882637912173778,62,67,12,19
